Tempo,Referencia_Temperatura,Saida_Temperatura,Sinal_Controle_Temperatura,Erro_Temperatura
0,30,22,0,8
18,30,22,0,8
36,30,22,0,8
54,30,22,0,8
72,30,22,0,8
90,30,21.2916,3.84745499470526,8.7084
108,30,20.60601048,7.88715461536021,9.39398952
126,30,19.942496942544,12.152181517743,10.057503057456
144,30,19.3003485409941,16.6805349161694,10.6996514590059
162,30,19.0172994593083,20.093517267351,10.9827005406917
180,30,19.1182800826087,22.1672098462456,10.8817199173913
198,30,19.6117229672416,23.1619708508364,10.3882770327584
216,30,20.509299942848,23.1388287544917,9.490700057152
234,30,21.7012301862478,22.1923320638067,8.29876981375222
252,30,23.0545543552172,20.9006922144401,6.94544564478282
270,30,24.4623557591362,19.4659775656553,5.53764424086385
288,30,25.8278537125678,17.9381008754987,4.17214628743218
306,30,27.0660109897159,16.339460805697,2.93398901028407
324,30,28.145869293234,14.6786350252337,1.854130706766
342,30,29.0581842120384,13.3266591377588,0.941815787961591
360,30,29.7994278592288,11.9620927356171,0.200572140771175
378,30,30.3684101880871,10.7786473335904,-0.368410188087051
396,30,30.7648479723512,9.86028547320869,-0.764847972351202
414,30,31.0211470576772,9.14821456637495,-1.0211470576772
432,30,31.1422844944561,8.64612632021761,-1.14228449445607
450,30,31.1484798052215,8.45282896864236,-1.14847980522149
468,30,31.0676727806448,8.48030594204341,-1.06767278064477
486,30,30.922159523425,8.66404135743073,-0.922159523424984
504,30,30.7335436700399,8.97075161930192,-0.733543670039893
522,30,30.5314431829163,9.34475291491842,-0.531443182916298
540,30,30.3372833225389,9.73882971359933,-0.337283322538923
558,30,30.1656766345978,10.1158235686567,-0.16567663459778
576,30,30.0275091299068,10.4417524460349,-0.0275091299068499
594,30,29.9282489280623,10.7422544639501,0.0717510719376797
612,30,29.8687515665238,11.0034837095079,0.131248433476152
630,30,29.846336250423,11.1974734669724,0.153663749576953
648,30,29.8552303102771,11.2190251911103,0.144769689722882
666,30,29.8919291168856,11.1764844554288,0.108070883114436
684,30,29.9519535016317,11.0708360233386,0.0480464983683291
702,30,30.0284380971154,10.910660707072,-0.0284380971154157
720,30,30.1053429861452,10.7279655599119,-0.105342986145249
738,30,30.1761393529136,10.5380769343964,-0.176139352913641
