Tempo,Referencia_Temperatura,Saida_Temperatura,Sinal_Controle_Temperatura,Erro_Temperatura
0,50,50,0,0
18,50,50,0,0
36,50,45.24,0.42947863122338,4.76
54,50,40.9436957003965,6.33153883288013,9.05630429960346
72,50,37.2815647042417,16.8315388328801,12.7184352957583
90,50,35.3289386306104,27.3315388328801,14.6710613693896
108,50,35.7824275591888,36.1076673640907,14.2175724408112
126,50,38.3706482972077,37.7506056513706,11.6293517027923
144,50,42.3930629784032,35.0719215401185,7.60693702159676
162,50,46.2738472529103,32.1296180717373,3.72615274708967
180,50,49.2123012539426,29.0227667742398,0.787698746057437
198,50,51.2448247164825,26.3825639796491,-1.24482471648251
216,50,52.4383644592792,24.358621148993,-2.43836445927919
234,50,52.97513751976,22.749387758524,-2.97513751976001
252,50,53.0430281900974,21.8148669837559,-3.04302819009742
270,50,52.7807474629195,21.3488029063611,-2.78074746291949
288,50,52.3573320550647,21.0798731308656,-2.3573320550647
306,50,51.8805161919842,20.9238441698795,-1.88051619198418
324,50,51.3949997130366,20.8610022489751,-1.39499971303663
342,50,50.9249998209184,20.888683711565,-0.924999820918352
360,50,50.4886783434193,20.9998715862025,-0.488678343419288
378,50,50.1017979982585,21.1842202723109,-0.101797998258547
396,50,49.7770554359708,21.6758835114668,0.222944564029177
414,50,49.5297534675678,22.4567690240175,0.470246532432185
432,50,49.4170572452881,23.3265839474424,0.582942754711873
450,50,49.4823911620353,23.6096324563833,0.51760883796473
468,50,49.7110225399907,23.5106084509736,0.288977460009292
486,50,49.968358937753,23.1819099048021,0.0316410622469618
504,50,50.1746197745288,22.8195604367926,-0.174619774528814
522,50,50.2909151419244,22.5256635484765,-0.290915141924444
540,50,50.3212009061649,22.3648934954,-0.321200906164869
558,50,50.2897272324203,22.311391558039,-0.28972723242029
576,50,50.229888456934,22.2888149588632,-0.229888456933992
594,50,50.1651925652715,22.2843387785371,-0.165192565271461
612,50,50.1023262658822,22.2934461291897,-0.102326265882233
630,50,50.0448318255504,22.3141592934494,-0.0448318255504319
648,50,49.9950215279578,22.3480304218704,0.00497847204223234
666,50,49.9546559972988,22.4356547380429,0.0453440027011922
684,50,49.9266149560225,22.5578618513581,0.0733850439775097
702,50,49.9206205912002,22.6460912013655,0.0793794087997881
720,50,49.9402034299303,22.6629261388121,0.0597965700696861
738,50,49.974825345644,22.6321006696826,0.0251746543559932
756,50,50.0085409395234,22.5806708778033,-0.00854093952339241
774,50,50.0320229272945,22.5327585797455,-0.0320229272945198
792,50,50.0424809548103,22.4969917454415,-0.04248095481028
810,50,50.0421104938174,22.4854291576242,-0.0421104938173684
828,50,50.0348066178487,22.4803736407701,-0.0348066178486519
846,50,50.0259129102703,22.4794173974404,-0.0259129102703426
864,50,50.0168975317797,22.4804545083457,-0.0168975317797049
882,50,50.0085871565158,22.4829306055449,-0.00858715651577313
900,50,50.0013225531914,22.4880972349343,-0.0013225531914145
918,50,49.9953391634216,22.4974490854645,0.00466083657843797
936,50,49.9911206233212,22.511670462233,0.00887937667879868
954,50,49.9894006839022,22.5301653620119,0.0105993160978315
972,50,49.9909565078234,22.5333616026242,0.0090434921765663
990,50,49.9958993817831,22.5293648190833,0.00410061821690277
1008,50,50.0008709504763,22.5226183208371,-0.000870950476297594
1026,50,50.0044566004542,22.5150239262236,-0.0044566004541764
1044,50,50.0062535336442,22.5082319149226,-0.00625353364419112
1062,50,50.0062932625638,22.5056724390058,-0.00629326256382257
1080,50,50.0049969472444,22.5052326756404,-0.00499694724437916
1098,50,50.0033348789039,22.5053526031128,-0.00333487890387119
1116,50,50.0017517919158,22.5077218472111,-0.00175179191582941
1134,50,50.0003999941963,22.5095313905169,-0.00039999419625758
1152,50,49.9996641236297,22.5113409338226,0.000335876370279209
1170,50,49.9993809358731,22.5121306480213,0.000619064126880176
