Tempo,Referencia_Umidade,Saida_Umidade,Sinal_Controle_Umidade,Erro_Umidade
18,50,50,0,0
36,50,50,0,0
54,50,45.24,29.75,4.76
72,50,41.6635145,46.153034375,8.33648549999999
90,50,44.3904799135063,29.3988936655859,5.60952008649375
108,50,49.5122511899181,9.13301545489475,0.487748810081911
126,50,50.5175536321536,14.8616093729316,-0.517553632153565
144,50,47.7800956249978,33.7150987805311,2.21990437500215
162,50,46.836770988361,35.6715016184132,3.163229011639
180,50,49.5549977170823,19.7233331431109,0.44500228291767
198,50,51.9885734155609,11.0744974501606,-1.98857341556089
216,50,50.9974311032484,20.7561088081298,-0.99743110324836
234,50,48.7218617068937,31.7509162293947,1.27813829310628
252,50,48.7423422020685,27.7810202858605,1.25765779793147
270,50,50.7183415157234,16.7347634875926,-0.718341515723353
288,50,51.4930665384742,15.6203890353997,-1.49306653847422
306,50,50.1021344506616,24.5637793469438,-0.102134450661602
324,50,48.8549027446423,29.1272458613244,1.1450972553577
342,50,49.5099602491917,23.3719623747052,0.490039750808336
360,50,50.8142759612492,17.1839083103902,-0.814275961249173
378,50,50.7668416065907,19.6008074178856,-0.766841606590738
396,50,49.6267105709643,25.8530574859785,0.37328942903568
414,50,49.2003311922921,26.325923201556,0.799668807707882
432,50,49.9946975215135,21.2014488496179,0.00530247848650589
450,50,50.6760129330944,18.7358542464721,-0.676012933094356
468,50,50.2741725136082,22.1043036112229,-0.274172513608242
486,50,49.5324631026339,25.5616739723606,0.467536897366109
504,50,49.5758060562221,24.0894712351078,0.424193943777851
522,50,50.2250627039259,20.5533327763108,-0.225062703925886
540,50,50.4505432280122,20.3798442541788,-0.450543228012222
558,50,49.989394585038,23.3188112239494,0.0106054149619581
576,50,49.6118739271964,24.6513363037298,0.388126072803608
594,50,49.85229965334,22.6873801079921,0.147700346659988
612,50,50.2706706631603,20.7612195270981,-0.270670663160345
630,50,50.2348620976015,21.6556871707765,-0.234862097601464
648,50,49.864422275567,23.6555046883829,0.135577724432991
666,50,49.745519847251,23.7007329902137,0.254480152749039
684,50,50.0128131789612,22.0170993560627,-0.0128131789611814
702,50,50.2217801493864,21.2996526082922,-0.221780149386362
720,50,50.0785690203465,22.4431176988617,-0.0785690203464853
738,50,49.8429728616064,23.5147996303012,0.157027138393637
756,50,49.8698288740226,22.9738853339282,0.130171125977412
774,50,50.0811461010669,21.8437498188153,-0.081146101066885
792,50,50.1435042192084,21.8483292402135,-0.14350421920841
810,50,49.9888159415236,22.8119325223537,0.0111840584764167
828,50,49.8733663423102,23.1966279511227,0.126633657689766
846,50,49.9584492711503,22.5317317053322,0.0415507288497281
864,50,50.0910086779675,21.9362227314643,-0.0910086779675083
882,50,50.072059575609,22.261904608576,-0.072059575609039
900,50,49.9516092906623,22.9000238335776,0.048390709337724
918,50,49.9191616426484,22.8801992018718,0.0808383573515883
936,50,50.0085807991699,22.3291606229329,-0.00858079916989851
954,50,50.0722540312118,22.1238152256747,-0.072254031211763
972,50,50.0218352316569,22.5099434637752,-0.0218352316568797
990,50,49.9473166953174,22.8404067852414,0.0526833046825743
1008,50,49.9601725658805,22.6450741921412,0.0398274341195304
1026,50,50.0287727371873,22.2850762643597,-0.0287727371873245
1044,50,50.0454965614083,22.3061300112317,-0.0454965614083065
1062,50,49.9938615343468,22.6209809734549,0.0061384656531942
1080,50,49.9588066982745,22.7300333536716,0.0411933017254924
1098,50,49.9886119633701,22.5060703673867,0.0113880366298531
1116,50,50.0304633657779,22.3229489854334,-0.0304633657778837
1134,50,50.0219762026128,22.4396960448547,-0.021976202612791
1152,50,49.9829377714027,22.6426139201833,0.0170622285972541
1170,50,49.9744174580891,22.6250916367685,0.0255825419109428
1188,50,50.0042034574439,22.4453409777558,-0.00420345744390715
1206,50,50.0234660362112,22.3877649015649,-0.0234660362111754
