Tempo,Referencia_Temperatura,Referencia_Umidade,Saida_Temperatura,Saida_Umidade,Controle_Temperatura,Controle_Umidade,Erro_Temperatura,Erro_Umidade
18,30,55,22,50,0,0,8,5
36,30,55,22,50,0,0,8,5
54,30,55,22,50,0,0,8,5
72,30,55,22,50,0,0,8,5
90,30,55,22,50,0,0,8,5
108,30,55,22,50,0,0,8,5
126,30,55,22,50,0,0,8,5
126,30,55,22,50,2.49828283963802,0.227301074853517,8,5
144,30,55,22,50.0558024138765,4.99656567927604,0.441877487923131,8,4.94419758612346
162,30,55,22,50.5837966562618,7.49484851891406,0.564685740461144,8,4.41620334373815
180,30,55,21.9919171737782,51.4927185887973,9.99484851891406,0.623092583016786,8.00808282622179,3.50728141120274
198,30,55,22.1574433852966,52.5589786571963,11.8792061659729,0.624827859393424,7.84255661470337,2.44102134280374
216,30,55,22.5107551111297,53.6333191661706,13.0664262240506,0.511970095288216,7.4892448888703,1.36668083382937
234,30,55,23.0651663932592,54.2576413097016,13.5927161503406,0.438696418269857,6.93483360674075,0.742358690298403
252,30,55,23.8280232882115,54.2313288440385,13.5498566642079,0.491563961348472,6.17197671178853,0.768671155961485
270,30,55,24.7523794131376,53.7004541084394,12.8452947286815,0.706567711639443,5.24762058686235,1.29954589156056
288,30,55,25.7864719721667,52.9682477221313,11.8906076344203,0.988168281357111,4.21352802783334,2.03175227786873
306,30,55,26.8528009961506,52.433404636446,10.6851816741723,1.25222806361569,3.14719900384937,2.56659536355403
324,30,55,27.8689271391604,52.2782456320133,9.24851458763745,1.43152057517355,2.13107286083958,2.7217543679867
342,30,55,28.7455932985773,52.4963059839084,7.7622342324801,1.52318200690544,1.25440670142271,2.50369401609155
360,30,55,29.4525719425712,52.9491801689045,6.50981027724126,1.56990753206134,0.54742805742881,2.05081983109545
378,30,55,29.9797723536929,53.5330426865224,5.35357750889132,1.57714417926463,0.0202276463071023,1.46695731347755
396,30,55,30.3304660307602,54.1880540851732,4.50004291467056,1.50451353267473,-0.330466030760185,0.811945914826779
414,30,55,30.5221596773684,54.8593902987405,3.93352384363149,1.32834802963429,-0.522159677368442,0.140609701259514
432,30,55,30.5895005925512,55.4154477959469,3.60813047785357,1.10459473703659,-0.589500592551165,-0.415447795946911
450,30,55,30.5555319670225,55.6845843998232,3.5722814212498,0.931347586810514,-0.555531967022489,-0.684584399823166
468,30,55,30.46747913236,55.6021495364699,3.63682696036971,0.904450592675617,-0.467479132360022,-0.602149536469923
486,30,55,30.3722282761099,55.3298609521213,3.72911864674066,0.94274806163002,-0.372228276109858,-0.329860952121273
504,30,55,30.2973387174105,55.1462737036872,3.8016066164019,0.975721175359595,-0.297338717410462,-0.146273703687228
522,30,55,30.2531407907132,55.1320595386187,3.83175930037488,0.96850380117155,-0.253140790713243,-0.132059538618662
540,30,55,30.2202649344419,55.2231732467824,3.84922640881249,0.909123719369943,-0.220264934441865,-0.223173246782359
558,30,55,30.19009738031,55.2853764744149,3.86699613948597,0.855834020742482,-0.190097380309982,-0.285376474414875
