Tempo,Referencia_Temperatura,Referencia_Umidade,Saida_Temperatura,Saida_Umidade,Controle_Temperatura,Controle_Umidade,Erro_Temperatura,Erro_Umidade
18,30,50,22,50,0,0,8,0
36,30,50,22,50,0,0,8,0
54,30,50,22,50,0,0,8,0
72,30,50,22,50,0,0,8,0
90,30,50,22,50,0,0,8,0
108,30,50,22,50,0,0,8,0
126,30,50,22,50,0,0,8,0
144,30,50,22,50,3.29760000000001,0,8,0
162,30,50,22,50,6.59520000000002,0,8,0
180,30,50,22,50,9.89280000000004,0,8,0
198,30,50,22,50,13.1904000000001,0,8,0
216,30,50,22.290056896,50,14.3907146077825,0,7.709943104,0
234,30,50,22.8776156399488,50,14.581663313511,0,7.1223843600512,0
252,30,50,23.7530966723425,49.57329056,13.74225619196,0.234166287632002,6.24690332765755,0.426709440000003
270,30,50,24.907228895493,48.7147633122174,11.7791905602716,0.676596500964005,5.09277110450697,1.28523668778264
288,30,50,26.1465625179587,47.4869266886263,9.93604909131946,1.34410525608523,3.8534374820413,2.51307331137369
306,30,50,27.3680623519717,45.9428002913493,8.08150157889476,2.26387917686271,2.63193764802834,4.05719970865069
324,30,50,28.4718002056974,44.4064165484491,6.49739138046834,3.30620372485501,1.52819979430264,5.59358345155091
342,30,50,29.353300404782,43.0656548673094,5.55314405310461,4.42791882837675,0.646699595217989,6.93434513269064
360,30,50,30.020115528963,42.0692209631513,4.83144380507002,5.55912422275552,-0.0201155289630002,7.93077903684874
378,30,50,30.4744703363806,41.562907454638,4.43753988101861,6.60622471193567,-0.474470336380627,8.43709254536198
396,30,50,30.7451561589367,41.5123231214303,4.2605041798439,7.55637510586484,-0.74515615893673,8.4876768785697
414,30,50,30.8949987212464,41.8751448436885,4.04697647947898,8.37137906353684,-0.894998721246417,8.12485515631147
432,30,50,30.9515127375777,42.5736868708181,3.92101814229966,9.03606025807563,-0.951512737577733,7.42631312918189
450,30,50,30.950065611957,43.4774583292281,3.78501937839996,9.56694559279476,-0.950065611957022,6.5225416707719
468,30,50,30.9159182094773,44.5113751943021,3.63401571575915,9.95597281492265,-0.915918209477347,5.48862480569788
486,30,50,30.8512697881217,45.5974822517106,3.57543112558354,10.216119842059,-0.851269788121744,4.40251774828941
504,30,50,30.7679479802658,46.6746283100557,3.54588072253825,10.3600049928534,-0.767947980265781,3.32537168994435
522,30,50,30.6690658127204,47.7217878561593,3.58198508426476,10.3887585711634,-0.669065812720387,2.27821214384075
540,30,50,30.5566878830307,48.7082969335937,3.68876690910423,10.3188743679922,-0.55668788303074,1.29170306640633
558,30,50,30.4418651357925,49.617966721422,3.80086209264457,10.1607898994658,-0.441865135792469,0.382033278577978
576,30,50,30.3299564318492,50.4408587526594,3.92858564203741,9.92618450875895,-0.329956431849212,-0.440858752659352
594,30,50,30.2288951034584,51.1564382496127,4.03667664279483,9.63492534702602,-0.228895103458356,-1.15643824961268
612,30,50,30.1466009468828,51.7554041043519,4.09789702317719,9.30120058125156,-0.146600946882756,-1.75540410435185
630,30,50,30.0847437553081,52.228838292366,4.12687658240263,8.94222036099931,-0.0847437553081285,-2.22883829236599
648,30,50,30.0452036112533,52.5702643264933,4.10885817450509,8.57500247244562,-0.0452036112533136,-2.57026432649326
666,30,50,30.026332031638,52.7852795104263,4.05473777309071,8.21117870212808,-0.0263320316379847,-2.78527951042632
684,30,50,30.0236415289423,52.8815194756736,3.9812745944839,7.86285555399234,-0.0236415289422709,-2.88151947567363
702,30,50,30.0335806986353,52.872748714925,3.88796374489888,7.53823827123031,-0.0335806986353404,-2.87274871492499
720,30,50,30.0511671544819,52.7778580075917,3.79018163268761,7.24221037822944,-0.0511671544818952,-2.77785800759173
738,30,50,30.0722420983452,52.6143199087603,3.69318074576119,6.97911854037266,-0.0722420983451606,-2.6143199087603
756,30,50,30.0941027296183,52.4010594850862,3.59698146572929,6.75013868994242,-0.0941027296182817,-2.40105948508616
774,30,50,30.1140517366632,52.1551417443619,3.50900998533297,6.55545803139446,-0.114051736663178,-2.15514174436186
792,30,50,30.1307682339066,51.8902865507368,3.42787581164673,6.39469199776342,-0.130768233906618,-1.89028655073675
810,30,50,30.1434751143263,51.6190271385221,3.35478646433102,6.26582413639083,-0.143475114326293,-1.61902713852214
828,30,50,30.1514678538824,51.3507415673204,3.29310958907627,6.16683502401215,-0.151467853882401,-1.35074156732039
846,30,50,30.1547540324237,51.0927097621501,3.24166992510477,6.09513287166877,-0.154754032423728,-1.09270976215013
864,30,50,30.153305734813,50.8510010356916,3.20264232103062,6.04751810066125,-0.153305734813024,-0.851001035691645
882,30,50,30.1472695327852,50.6295467774531,3.17679713736261,6.02100496560072,-0.147269532785245,-0.629546777453101
900,30,50,30.1371625472802,50.4312618957848,3.16292378082376,6.01228975577019,-0.137162547280166,-0.431261895784822
918,30,50,30.1234804488885,50.2579144514994,3.16136493299694,6.01815561200353,-0.123480448888483,-0.257914451499367
936,30,50,30.1069757343076,50.1098721500327,3.17030867635738,6.035725462337,-0.106975734307603,-0.109872150032707
954,30,50,30.0885366870417,49.9868069204859,3.18776790248155,6.0621966243803,-0.0885366870417172,0.0131930795140676
972,30,50,30.0690033639511,49.8874387043395,3.21232852898644,6.09519768840939,-0.0690033639510759,0.112561295660505
990,30,50,30.0492896380978,49.8097934915163,3.24148675306118,6.13271358906627,-0.0492896380977541,0.190206508483712
1008,30,50,30.0301900727576,49.7516221202512,3.27354574451275,6.17298794799027,-0.0301900727575841,0.248377879748837
1026,30,50,30.0123519549724,49.7103266616198,3.30702723109775,6.21467533609953,-0.01235195497242,0.289673338380247
1044,30,50,29.996318526,49.6833205177632,3.34029801159727,6.25667189270522,0.0036814739999933,0.316679482236786
1062,30,50,29.9824304656169,49.6681668936784,3.37251315869989,6.29810562196672,0.0175695343831386,0.331833106321568
1080,30,50,29.9708904254024,49.6625624085445,3.40280450497119,6.33835333531896,0.029109574597598,0.33743759145554
1098,30,50,29.9617816742118,49.6645252105719,3.43048334310669,6.37691825054157,0.0382183257882254,0.335474789428076
1116,30,50,29.9550535966535,49.672340469849,3.45527557003717,6.41345646892454,0.0449464033465219,0.327659530150974
1134,30,50,29.9505890579329,49.6845439946605,3.47682672590735,6.44774352295867,0.0494109420670981,0.315456005339541
1152,30,50,29.9482033746702,49.699961595213,3.49502979100053,6.47961946961134,0.0517966253298354,0.300038404787017
1170,30,50,29.9476592181614,49.7176185699673,3.50994079434584,6.50901098283214,0.0523407818386126,0.2823814300327
1188,30,50,29.9487025260276,49.7367392516484,3.52160565818385,6.53589053940236,0.0512974739723973,0.263260748351605
1206,30,50,29.9510558011065,49.7567291519581,3.53027171042571,6.56026212859643,0.0489441988934551,0.243270848041874
1224,30,50,29.954438883737,49.7771172136135,3.53621800862287,6.58216773796207,0.0455611162630376,0.222882786386549
1242,30,50,29.9585831100893,49.7975597155352,3.53974439250186,6.60165947524291,0.0414168899107281,0.202440284464828
1260,30,50,29.9632301553938,49.8178060301814,3.54123667703742,6.61880373673296,0.036769844606237,0.182193969818584
1278,30,50,29.9681488798613,49.8376689633113,3.54103555435565,6.63367982366395,0.0318511201386897,0.16233103668872
1296,30,50,29.9731377824561,49.8570202620951,3.53948090032232,6.64636918483911,0.0268622175439361,0.142979737904938
1314,30,50,29.978026023588,49.8757600095076,3.5369028329985,6.6569642599044,0.0219739764119815,0.124239990492441
1332,30,50,29.9826800204407,49.8938059276157,3.5335658329947,6.66556518216579,0.0173199795592822,0.106194072384255
1350,30,50,29.9869986887377,49.9110877042117,3.52971647089515,6.67227875508583,0.0130013112623431,0.0889122957882833
1368,30,50,29.99091221544,49.9275327876002,3.52555819431293,6.67722373877521,0.00908778456002324,0.0724672123998005
1386,30,50,29.9943801592666,49.9430693496446,3.52124683534049,6.68052682527263,0.00561984073335253,0.0569306503553619
1404,30,50,29.9973847070293,49.9576255593729,3.51691900436849,6.68232350658274,0.0026152929707095,0.0423744406270714
1422,30,50,29.9999280528663,49.9711291624525,3.51267238766795,6.68275816932117,7.19471337227162e-05,0.0288708375475011
1440,30,50,30.0020278043398,49.9835147524654,3.50857932064421,6.68198007649304,-0.00202780433979299,0.0164852475345754
1458,30,50,30.0037120758692,49.9947251529436,3.50469593525727,6.68014314928257,-0.00371207586921685,0.00527484705642678
1476,30,50,30.0050171943312,50.00471507603,3.50105308277812,6.67740322639543,-0.00501719433124848,-0.00471507603002408
1494,30,50,30.0059838983528,50.0134555281216,3.49767045280841,6.67391489995878,-0.00598389835283797,-0.0134555281215754
1512,30,50,30.0066548189161,50.0209340332714,3.49455644412081,6.669830255535,-0.00665481891606134,-0.0209340332714234
1530,30,50,30.0070729216577,50.0271567738279,3.49170769214908,6.66529574734038,-0.00707292165770212,-0.0271567738279046
1548,30,50,30.007279299144,50.032148969524,3.48911812056133,6.66045014218748,-0.00727929914400605,-0.0321489695240018
1566,30,50,30.0073122805552,50.0359535512466,3.48677655056168,6.65542302259552,-0.00731228055518685,-0.0359535512466351
1584,30,50,30.0072066535853,50.0386308078706,3.48466959455215,6.65033259547105,-0.00720665358525352,-0.0386308078705824
1602,30,50,30.0069929199696,50.0402562000221,3.48278511534723,6.64528473213028,-0.00699291996955509,-0.0402562000221138
1620,30,50,30.0066973977649,50.0409179680226,3.48111001596067,6.6403720405469,-0.00669739776493117,-0.0409179680225691
1638,30,50,30.0063421773634,50.0407149265209,3.4796327269308,6.63567308496427,-0.0063421773633543,-0.0407149265209483
1656,30,50,30.0059453497297,50.0397532085282,3.47834310739329,6.63125248308774,-0.0059453497296964,-0.0397532085282251
1674,30,50,30.0055215528912,50.0381434407341,3.47723113469036,6.62716096189243,-0.00552155289117451,-0.0381434407341104
1692,30,50,30.0050823297447,50.0359978883228,3.47628811691901,6.62343585185181,-0.00508232974472733,-0.0359978883227967
1710,30,50,30.0046366821636,50.0334274388747,3.47550551814583,6.62010200807641,-0.00463668216362478,-0.0334274388747104
1728,30,50,30.004191596978,50.0305392325614,3.47487461219494,6.61717271029498,-0.00419159697797156,-0.0305392325614164
1746,30,50,30.0037524250551,50.0274344078019,3.47438685949639,6.61465090669263,-0.00375242505509021,-0.0274344078019269
1764,30,50,30.0033233257735,50.0242062361723,3.47403301604734,6.61253053770346,-0.0033233257735219,-0.0242062361722759
1782,30,50,30.0029075714966,50.0209388520899,3.47380335581257,6.61079783146706,-0.00290757149656429,-0.0209388520898841
1800,30,50,30.0025077777196,50.0177062287778,3.47368769625187,6.6094327290752,-0.00250777771962518,-0.0177062287777687
1818,30,50,30.0021261241496,50.0145716559719,3.47367507134008,6.60841020424375,-0.00212612414962265,-0.0145716559718849
1836,30,50,30.0017644592636,50.011587613412,3.4737541165416,6.6077015230416,-0.00176445926356195,-0.0115876134119617
1854,30,50,30.0014243849313,50.0087958850378,3.47391304814264,6.60727546114091,-0.00142438493134733,-0.0087958850377845
1872,30,50,30.0011073094748,50.0062280345712,3.47413974923628,6.60709935419872,-0.00110730947481841,-0.00622803457123666
1890,30,50,30.0008144414134,50.0039060686989,3.47442212545309,6.60714005582765,-0.00081444141337883,-0.00390606869886767
1908,30,50,30.0005467888803,50.0018432522369,3.47474816434272,6.60736476742809,-0.000546788880338767,-0.00184325223685988
1926,30,50,30.0003051347459,50.0000450871603,3.47510619531082,6.60774170834055,-0.000305134745897107,-4.50871603234759e-05
1944,30,50,30.0000899995833,49.9985103251867,3.47548514207175,6.60824068029904,-8.99995832810419e-05,0.0014896748133495
1962,30,50,29.9999016198575,49.9972320223826,3.47587462743419,6.60883349300942,9.83801425107345e-05,0.00276797761743097
1980,30,50,29.9997399194809,49.9961985978674,3.47626520123457,6.60949426818927,0.000260080519137063,0.00380140213256652
1998,30,50,29.9996044946262,49.9953948309065,3.47664845529099,6.6101996505076,0.000395505373809613,0.00460516909349451
2016,30,50,29.9994946143315,49.9948028106929,3.47701708808419,6.61092891266339,0.000505385668482461,0.00519718930708279
2034,30,50,29.9994092263687,49.9944027990705,3.47736499979927,6.61166398480762,0.000590773631294894,0.00559720092945071
2052,30,50,29.9993469807847,49.9941739903182,3.47768728005371,6.61238942005482,0.000653019215327788,0.00582600968184721
2070,30,50,29.999306263201,49.9940951792879,3.47798019221276,6.61309229931785,0.000693736799021849,0.005904820712054
2088,30,50,29.99928523457,49.9941453176647,3.47824113972777,6.6137620997439,0.000714765430000597,0.00585468233527564
2106,30,50,29.999281880976,49.994303968857,3.47846857153288,6.61439053067448,0.000718119023986219,0.00569603114303874
2124,30,50,29.9992940649981,49.9945516702301,3.47866189930074,6.61497134654939,0.00070593500186078,0.00544832976989085
2142,30,50,29.9993195786885,49.9948702011079,3.47882138863889,6.61550015042938,0.000680421311457735,0.00512979889205667
2160,30,50,29.9993561970087,49.9952427742093,3.47894803216037,6.61597418951085,0.000643802991287856,0.00475722579068361
2178,30,50,29.9994017266403,49.9956541575524,3.47904343596427,6.61639215132633,0.000598273359670998,0.00434584244759861
2196,30,50,29.9994540512205,49.9960907348296,3.47910969173696,6.61675396594576,0.000545948779517857,0.00390926517036405
2214,30,50,29.9995111708151,49.9965405190501,3.47914925632018,6.61706061498239,0.000488829184948969,0.00345948094994242
2232,30,50,29.9995712339757,49.9969931252338,3.47916484357765,6.61731395264475,0.000428766024278104,0.00300687476624972
2250,30,50,29.9996325634371,49.9974397119294,3.47915931678342,6.61751653949767,0.000367436562875412,0.00256028807055486
2268,30,50,29.9996936741157,49.9978729008217,3.47913559842532,6.61767148944287,0.000306325884338321,0.00212709917830267
2286,30,50,29.9997532838815,49.9982866789296,3.47909659136787,6.61778233183183,0.000246716118539325,0.00171332107041167
2304,30,50,29.9998103180224,49.9986762908292,3.47904510975934,6.61785288757761,0.000189681977641243,0.00132370917081914
2322,30,50,29.9998639072857,49.9990381254079,3.47898382710447,6.61788715939116,0.000136092714267733,0.000961874592107392
2340,30,50,29.9999133808179,49.9993696001379,3.47891523411114,6.61788923600913,8.66191820669826e-05,0.000630399862060926
2358,30,50,29.9999582548223,49.9996690469389,3.47884160821655,6.61786320904021,4.17451776684175e-05,0.000330953061059347
2376,30,50,29.9999982175955,49.9999356011131,3.47876499535958,6.61781310218883,1.78240454573597e-06,6.4398886920003e-05
2394,30,50,30.0000331122393,50.0001690949165,3.47868719897365,6.61774281190626,-3.31122393291139e-05,-0.000169094916479651
2412,30,50,30.000062917717,50.0003699572414,3.47860977798032,6.61765605839464,-6.29177170452522e-05,-0.000369957241424856
2430,30,50,30.0000877290659,50.0005391194852,3.47853405147784,6.61755634646224,-8.77290659460073e-05,-0.000539119485196693
2448,30,50,30.0001077376365,50.0006779281997,3.47846110773711,6.61744693517223,-0.00010773763652594,-0.000677928199742439
2466,30,50,30.0001232117898,50.0007880646483,3.47839181814011,6.61733081550941,-0.000123211789762934,-0.000788064648261866
2484,30,50,30.000134478633,50.0008714709694,3.47832685355895,6.61721069541996,-0.000134478633007973,-0.000871470969393329
2502,30,50,30.0001419071834,50.0009302830522,3.47826670245808,6.61708899131456,-0.000141907183362378,-0.000930283052234415
2520,30,50,30.0001458931417,50.0009667698131,3.47821169049766,6.61696782541433,-0.000145893141741738,-0.000966769813068424
2538,30,50,30.000146845521,50.0009832786169,3.47816200001122,6.61684902825077,-0.000146845520994532,-0.000983278616864425
2556,30,50,30.0001451751663,50.0009821867481,3.47811768937531,6.61673414558248,-0.000145175166299083,-0.000982186748103686
2574,30,50,30.0001412851519,50.0009658585988,3.47807871177281,6.6166244491636,-0.000141285151855186,-0.000965858598846125
2592,30,50,30.0001355630317,50.0009366084042,3.47804493266731,6.61652095070521,-0.000135563031712138,-0.000936608404188632
2610,30,50,30.0001283747968,50.0008966683449,3.47801614619756,6.61642441842768,-0.00012837479679817,-0.000896668344907425
2628,30,50,30.0001200604052,50.0008481617424,3.47799209010704,6.61633539567365,-0.000120060405151889,-0.000848161742396769
2646,30,50,30.0001109307266,50.0007930811776,3.47797245912988,6.61625422100826,-0.00011093072657431,-0.000793081177590693
2664,30,50,30.0001012657001,50.000733271286,3.4779569170174,6.61618104931725,-0.000101265700116926,-0.00073327128600198
2682,30,50,30.000091313537,50.0006704159576,3.4779451070389,6.61611587344116,-9.13135369984275e-05,-0.000670415957586101
2700,30,50,30.0000812907854,50.000606029697,3.47793666112522,6.61605854589774,-8.12907854168543e-05,-0.000606029697031829
2718,30,50,30.0000713830821,50.0005414528212,3.47793120776812,6.61600880032209,-7.13830820586736e-05,-0.000541452821181565
2736,30,50,30.0000617464459,50.0004778501716,3.47792837867484,6.61596627227802,-6.17464459296002e-05,-0.000477850171634486
2754,30,50,30.0000525089697,50.0004162130043,3.47792781437294,6.61593051914149,-5.25089697411829e-05,-0.000416213004314159
2772,30,50,30.0000437727904,50.0003573636727,3.477929168829,6.61590103882003,-4.3772790366603e-05,-0.000357363672748079
2790,30,50,30.0000356162408,50.0003019627323,3.47793211315639,6.61587728710362,-3.56162407584293e-05,-0.000301962732265793
2808,30,50,30.0000280960947,50.0002505180752,3.4779363385538,6.61585869349909,-2.80960947378617e-05,-0.000250518075198158
2826,30,50,30.0000212498402,50.0002033957012,3.47794155851634,6.61584467544709,-2.12498402412109e-05,-0.000203395701177556
2844,30,50,30.0000150979283,50.0001608317467,3.47794751040906,6.61583465085628,-1.5097928290686e-05,-0.00016083174671877
2862,30,50,30.0000096459557,50.0001229454014,3.47795395648697,6.61582804893685,-9.64595569286075e-06,-0.00012294540135116
2880,30,50,30.0000048867547,50.0000897523617,3.4779606843999,6.61582431934771,-4.88675469867417e-06,-8.97523616529838e-05
2898,30,50,30.0000008023681,50.0000611785041,3.47796750725986,6.61582293970205,-8.02368095520478e-07,-6.11785041400026e-05
2916,30,50,29.9999973658966,50.0000370734826,3.47797426331936,6.6158234215066,2.6341033958488e-06,-3.70734825594354e-05
2934,30,50,29.999994543212,50.0000172239941,3.47798081530415,6.61582531462853,5.4567880489742e-06,-1.72239940852137e-05
2952,30,50,29.9999922945313,50.0000013664947,3.47798704945847,6.61582821040253,7.70546872530531e-06,-1.36649466497829e-06
2970,30,50,29.9999905758528,49.9999891991793,3.47799287434104,6.61583174350432,9.42414715865425e-06,1.08008207106991e-05
2988,30,50,29.999989340255,49.9999803930839,3.47799821941534,6.61583559272325,1.06597450368895e-05,1.96069160978141e-05
3006,30,50,29.9999885390606,49.9999746022004,3.47800303348054,6.61583948077261,1.14609393584431e-05,2.53977995683385e-05
3024,30,50,29.9999881228722,49.9999714725315,3.47800728297825,6.61584317327648,1.18771277826113e-05,2.85274685225545e-05
3042,30,50,29.9999880424805,49.9999706500449,3.4780109502156,6.61584647706911,1.19575195398625e-05,2.93499550920728e-05
3060,30,50,29.9999882496526,49.9999717875162,3.47801403154245,6.61584923793865,1.1750347361783e-05,2.82124837838182e-05
3078,30,50,29.999988697805,49.9999745502731,3.47801653551371,6.61585133793924,1.13021950447489e-05,2.54497269267517e-05
3096,30,50,29.9999893425645,49.9999786208785,3.47801848107072,6.61585269238638,1.06574355314137e-05,2.13791214775938e-05
3114,30,50,29.999990142226,49.9999837028066,3.47801989576961,6.61585324664114,9.85777398554433e-06,1.6297193361936e-05
3132,30,50,29.9999910581102,49.9999895231793,3.47802081408034,6.61585297277695,8.94188983480149e-06,1.04768207052075e-05
3150,30,50,29.9999920548282,49.9999958346433,3.4780212757799,6.61585186621177,7.94517176672116e-06,4.16535674929719e-06
3168,30,50,29.999993100461,50.0000024164734,3.47802132445611,6.615849942377,6.89953902366369e-06,-2.41647339294104e-06
3186,30,50,29.9999941666579,50.0000090749927,3.47802100613653,6.61584723348291,5.83334209025566e-06,-9.07499273239409e-06
3204,30,50,29.9999952286645,50.0000156434007,3.47802036805248,6.61584378542977,4.77133547605035e-06,-1.56434006939321e-05
3222,30,50,29.9999962652849,50.0000219811003,3.47801945754516,6.61583965490355,3.73471506165401e-06,-2.1981100303492e-05
3240,30,50,29.9999972587879,50.000027972612,3.47801832111627,6.61583490668537,2.74121212839873e-06,-2.79726120169244e-05
