Tempo,Referencia_Temperatura,Referencia_Umidade,Saida_Temperatura,Saida_Umidade,Erro_Temperatura,Erro_Umidade
18,30,50,22,50,8,0
36,30,50,22,50,8,0
54,30,50,22,50,8,0
72,30,50,22,50,8,0
90,30,50,22,50,8,0
108,30,50,22,50,8,0
126,30,50,22,50,8,0
144,30,50,22.7264100020516,48.8145413096967,7.27358999794836,1.18545869030328
162,30,50,23.4292968456207,47.6986935968833,6.57070315437927,2.3013064031167
180,30,50,24.1094222754292,46.8664042638749,5.89057772457084,3.13359573612512
198,30,50,24.7581554272979,46.2719619854676,5.24184457270212,3.72803801453244
216,30,50,25.2957646957075,45.8355756857508,4.70423530429246,4.16442431424923
234,30,50,25.7311856771148,45.4958078760924,4.26881432288523,4.50419212390757
252,30,50,26.0761582221713,45.2738739929774,3.9238417778287,4.72612600702264
270,30,50,26.3418606566165,45.1888051078643,3.65813934338355,4.81119489213567
288,30,50,26.5441499768149,45.2072605475367,3.4558500231851,4.79273945246331
306,30,50,26.6965473150213,45.2953277304844,3.30345268497868,4.70467226951564
324,30,50,26.8114335396882,45.4217737144056,3.1885664603118,4.57822628559436
342,30,50,26.8998170192558,45.5600804730086,3.10018298074424,4.43991952699135
360,30,50,26.9701417092283,45.6931150873168,3.02985829077173,4.3068849126832
378,30,50,27.0286059673689,45.8113665795096,2.97139403263107,4.18863342049043
396,30,50,27.0794302199795,45.9107554833157,2.9205697800205,4.08924451668427
414,30,50,27.1251935288506,45.9908218289563,2.87480647114939,4.00917817104367
432,30,50,27.1673217486086,46.0531889546732,2.83267825139139,3.94681104532681
450,30,50,27.2064855976031,46.1005917976641,2.79351440239687,3.89940820233591
468,30,50,27.2429120949181,46.1361799370788,2.75708790508188,3.86382006292125
486,30,50,27.2766145648545,46.1630121714194,2.7233854351455,3.83698782858063
504,30,50,27.3075397854199,46.1837594857379,2.69246021458011,3.81624051426206
522,30,50,27.3356545715265,46.200561010836,2.66434542847351,3.79943898916402
540,30,50,27.3609875861187,46.2149960810969,2.63901241388126,3.78500391890306
558,30,50,27.3836397570991,46.2281367217301,2.61636024290091,3.77186327826989
576,30,50,27.4037761090248,46.2406407121752,2.59622389097515,3.7593592878248
594,30,50,27.4216082007597,46.252856593622,2.57839179924034,3.74714340637796
612,30,50,27.4373737745837,46.2649222287348,2.5626262254163,3.73507777126521
630,30,50,27.4513179595575,46.276846984238,2.54868204044246,3.72315301576197
648,30,50,27.4636782633919,46.2885742680835,2.53632173660814,3.71142573191651
666,30,50,27.4746741263103,46.3000249968825,2.52532587368966,3.69997500311752
684,30,50,27.4845008534148,46.3111246530247,2.51549914658525,3.68887534697527
702,30,50,27.4933271994729,46.3218175052455,2.50667280052709,3.6781824947545
720,30,50,27.5012956736484,46.3320716435362,2.49870432635161,3.66792835646379
738,30,50,27.5085246345477,46.341878101109,2.49147536545225,3.65812189889104
756,30,50,27.5151113698128,46.3512467223354,2.48488863018725,3.64875327766464
774,30,50,27.5211355342782,46.3602007407004,2.47886446572182,3.63979925929956
792,30,50,27.5266625087925,46.3687713745687,2.47333749120752,3.63122862543135
810,30,50,27.531746411076,46.3769931964317,2.46825358892404,3.62300680356825
828,30,50,27.536432626685,46.38490061093,2.46356737331496,3.61509938906995
846,30,50,27.5407598279055,46.3925254885842,2.45924017209454,3.60747451141575
864,30,50,27.5447615134624,46.3998958280664,2.45523848653764,3.60010417193356
882,30,50,27.5484671379991,46.4070352347956,2.45153286200087,3.59296476520444
900,30,50,27.5519029143963,46.4139629815209,2.4480970856037,3.5860370184791
918,30,50,27.555092371176,46.4206944340164,2.44490762882402,3.57930556598363
936,30,50,27.5580567375141,46.4272416634255,2.44194326248594,3.57275833657452
954,30,50,27.5608152144785,46.4336141126145,2.43918478552148,3.56638588738552
972,30,50,27.5633851763594,46.4398192282086,2.43661482364057,3.56018077179138
990,30,50,27.5657823324442,46.4458630077531,2.4342176675558,3.55413699224688
1008,30,50,27.568020868412,46.4517504405112,2.43197913158803,3.54824955948883
1026,30,50,27.5701135780379,46.4574858406238,2.4298864219621,3.5425141593762
1044,30,50,27.5720719899994,46.4630730837407,2.42792801000057,3.53692691625933
1062,30,50,27.5739064908806,46.4685157643921,2.42609350911944,3.53148423560793
1080,30,50,27.5756264434839,46.4738172930475,2.42437355651612,3.52618270695245
