Cenario,Variavel,Patamar,Media_Saida,Media_Controle,Var_Saida,Var_Controle,IAE,ITAE,IG
1,Temperatura,P1 (30°C),29.65728924,4.403248598,2.971914478,4.513038731,145.3489466,31561.72386,18.57467149
1,Temperatura,P2 (36°C),35.99676277,7.54415122,0.397097434,5.774263536,84.90639666,575187.2031,14.04145439
1,Umidade,P1 (55%),54.90528326,1.389109123,0.904110904,0.170939825,165.935996,477549.5364,16.9910793
1,Umidade,P2 (65%),64.98248935,2.333096047,0.964937321,0.118380515,64.24235313,708446.6668,6.973720883
2,Temperatura,P1 (30°C),29.67808361,3.688904077,3.074375741,5.172205313,162.3120774,53656.58259,20.58953227
2,Temperatura,P2 (36°C),36.03610101,6.313530714,0.633839369,6.672922442,149.3238981,1116597.526,20.86614166
2,Umidade,P1 (55%),54.90902217,1.177169266,1.077789195,0.15394378,234.2794645,741122.6185,23.77114095
2,Umidade,P2 (65%),64.98381894,2.01646796,0.984122617,0.118978895,97.12709794,1103065.763,10.19928861
100,Temperatura,P1 (30°C),29.65979199,4.020187614,3.002771709,4.765747848,148.3653571,33282.25698,18.97659673
100,Temperatura,P2 (36°C),36.01316099,6.863080003,0.45406449,5.942235326,92.3392599,623172.3263,14.76610672
100,Umidade,P1 (55%),54.90865061,1.193286503,0.865749772,0.136940397,160.1500787,444912.7697,16.34952345
100,Umidade,P2 (65%),64.98436637,2.022459576,0.981467521,0.122116597,65.15708204,718893.835,7.005681737
