Tempo,Referencia_Temperatura,Referencia_Umidade,Saida_Temperatura,Saida_Umidade,Erro_Temperatura,Erro_Umidade
18,30,50,22,50,8,0
36,30,50,22,50,8,0
54,30,50,22,50,8,0
72,30,50,22,50,8,0
90,30,50,22,50,8,0
108,30,50,22,50,8,0
126,30,50,22,50,8,0
144,30,50,22.773797935686,48.8748896155785,7.226202064314,1.12511038442152
162,30,50,23.5224883887625,47.8140875144169,6.47751161123752,2.18591248558309
180,30,50,24.2468860236966,47.028904987308,5.75311397630339,2.97109501269203
198,30,50,24.9437866776667,46.4762860030249,5.05621332233332,3.52371399697508
216,30,50,25.5243969785488,46.0775241175656,4.47560302145116,3.92247588243442
234,30,50,25.993535724869,45.7715122444574,4.00646427513103,4.22848775554261
252,30,50,26.3633686531951,45.6223893894466,3.63663134680489,4.37761061055345
270,30,50,26.6447096556144,45.6044800991157,3.35529034438556,4.3955199008843
288,30,50,26.8544118257189,45.6766698694005,3.14558817428108,4.32333013059949
306,30,50,27.0078753775428,45.8067942234729,2.99212462245724,4.19320577652713
324,30,50,27.1197920505146,45.962126884304,2.88020794948539,4.037873115696
342,30,50,27.2026292524279,46.1187922210443,2.79737074757206,3.88120777895567
360,30,50,27.265950918449,46.2625523026213,2.73404908155104,3.7374476973787
378,30,50,27.3167968897951,46.3859706817765,2.68320311020493,3.6140293182235
396,30,50,27.3598845989225,46.486665840992,2.64011540107749,3.51333415900804
414,30,50,27.398100677477,46.5654248123399,2.60189932252297,3.43457518766008
432,30,50,27.4330424169636,46.6249046053456,2.56695758303638,3.37509539465443
450,30,50,27.465448376401,46.6686443006739,2.53455162359897,3.33135569932614
468,30,50,27.4955528913866,46.7003196742657,2.50444710861341,3.2996803257343
486,30,50,27.5233426301019,46.7232932203675,2.47665736989806,3.27670677963253
504,30,50,27.5487249309814,46.7403659199102,2.45127506901858,3.25963408008981
522,30,50,27.5716278396116,46.7536896449045,2.42837216038841,3.24631035509547
540,30,50,27.5920475351319,46.7647959254169,2.40795246486813,3.23520407458307
558,30,50,27.6100604942808,46.774687178013,2.38993950571921,3.22531282198698
576,30,50,27.625814425466,46.7839537692175,2.374185574534,3.21604623078248
594,30,50,27.6395086623012,46.7928915813902,2.36049133769881,3.20710841860978
612,30,50,27.6513717547203,46.8016049963165,2.34862824527969,3.19839500368352
630,30,50,27.6616409464743,46.8100887606419,2.33835905352569,3.18991123935808
648,30,50,27.6705459483779,46.8182874660496,2.32945405162208,3.1817125339504
666,30,50,27.6782977907388,46.8261347189887,2.3217022092612,3.17386528101132
684,30,50,27.6850824757084,46.8335757417389,2.31491752429156,3.16642425826109
702,30,50,27.6910585906702,46.8405776355895,2.30894140932978,3.15942236441047
720,30,50,27.6963578318265,46.8471313293331,2.30364216817348,3.1528686706669
738,30,50,27.7010874051665,46.8532486028831,2.29891259483353,3.14675139711689
756,30,50,27.7053334226082,46.8589567743189,2.29466657739179,3.14104322568109
774,30,50,27.709164617537,46.8642928423103,2.29083538246301,3.13570715768969
792,30,50,27.7126359164761,46.8692981812075,2.28736408352386,3.13070181879248
810,30,50,27.7157915917081,46.8740143414965,2.2842084082919,3.12598565850354
828,30,50,27.7186678685734,46.878480121445,2.28133213142658,3.12151987855501
846,30,50,27.7212949675578,46.8827298304201,2.27870503244221,3.11727016957992
864,30,50,27.7236986286015,46.8867925330769,2.2763013713985,3.11320746692307
882,30,50,27.7259012004788,46.8906920155625,2.27409879952124,3.10930798443749
900,30,50,27.7279223899533,46.8944472214297,2.27207761004673,3.1055527785703
918,30,50,27.7297797616842,46.8980729424339,2.27022023831579,3.10192705756612
936,30,50,27.7314890672431,46.9015805999661,2.2685109327569,3.0984194000339
954,30,50,27.733064465214,46.904979004485,2.26693553478601,3.095020995515
972,30,50,27.73451867769,46.9082750257567,2.26548132230999,3.09172497424326
990,30,50,27.7358631136618,46.9114741425953,2.26413688633822,3.08852585740472
1008,30,50,27.7371079778405,46.9145808663711,2.26289202215952,3.08541913362891
1026,30,50,27.7382623746185,46.9175990487251,2.26173762538149,3.08240095127495
1044,30,50,27.7393344109069,46.9205320924372,2.26066558909314,3.07946790756282
1062,30,50,27.7403312980031,46.9233830872747,2.25966870199688,3.07661691272529
1080,30,50,27.7412594508535,46.9261548917977,2.25874054914654,3.07384510820231
1098,30,50,27.7421245825115,46.9288501791402,2.25787541748851,3.0711498208598
