Tempo,Referencia_Temperatura,Referencia_Umidade,Saida_Temperatura,Saida_Umidade,Sinal_Controle_Temperatura,Sinal_Controle_Umidade,Erro_Temperatura,Erro_Umidade
18,30,50,22,50,0,0,8,0
36,30,50,22,50,0,0,8,0
54,30,50,22,50,0,0,8,0
72,30,50,22,50,0,0,8,0
90,30,50,22,50,0,0,8,0
108,30,50,22,50,0,0,8,0
126,30,50,22,50,0,0,8,0
144,30,50,22,50,0.572425106308948,0,8,0
162,30,50,22,50,1.1448502126179,0,8,0
180,30,50,22,50,1.71727531892684,0,8,0
198,30,50,22,50,2.28970042523579,0,8,0
216,30,50,22.0503505123509,50,2.66588850709387,0,7.94964948764907,0
234,30,50,22.1523438943462,50,2.98386114856067,0,7.84765610565378,0
252,30,50,22.3043172455833,49.9259281912436,3.25016854285572,0.199697596407198,7.6956827544167,0.0740718087563792
270,30,50,22.5046612110526,49.7808024744056,3.46266309340769,0.500892616735495,7.4953387889474,0.219197525594353
288,30,50,22.7345572483051,49.6064323568614,3.68653973287812,0.809602300432527,7.26544275169487,0.393567643138596
306,30,50,22.9862241793854,49.4201407420521,3.89519569812384,1.14441264474213,7.01377582061462,0.579859257947852
324,30,50,23.250353101559,49.2460349150121,4.10068885721208,1.46734163860992,6.749646898441,0.753965084987904
342,30,50,23.5199305028192,49.0938166353273,4.30234709785569,1.78397021860865,6.48006949718085,0.906183364672671
360,30,50,23.7954919473633,48.9640752042955,4.47726425989967,2.10202740868828,6.20450805263673,1.0359247957045
378,30,50,24.0753573158132,48.8593198930173,4.63312028840675,2.41101281827709,5.92464268418685,1.14068010698268
396,30,50,24.359459216154,48.7750997936564,4.76497602040124,2.7214053266173,5.64054078384598,1.22490020634361
414,30,50,24.6475900537103,48.7086035780935,4.87314110234862,3.0302902387222,5.35240994628974,1.29139642190651
432,30,50,24.9374196661568,48.6579666591745,4.96580418656321,3.33509932559527,5.0625803338432,1.34203334082554
450,30,50,25.2273837846844,48.620953743428,5.04215302439195,3.6359867489498,4.7726162153156,1.37904625657197
468,30,50,25.5153880654697,48.5980958379965,5.10578411752514,3.92557723926092,4.48461193453028,1.40190416200347
486,30,50,25.7994584008439,48.5891439402407,5.15843120922673,4.20241663698322,4.20054159915613,1.4108560597593
504,30,50,26.0784396828719,48.5932257983064,5.19912753590861,4.46567464170839,3.92156031712813,1.40677420169364
522,30,50,26.3511969767823,48.6094729894344,5.229295948097,4.71380346820426,3.64880302321774,1.39052701056559
540,30,50,26.6170650572946,48.6360535149601,5.24866861041903,4.94803520370418,3.38293494270541,1.36394648503994
558,30,50,26.8755840880464,48.6712299666691,5.25759297159378,5.16835194483234,3.12441591195356,1.32877003333092
576,30,50,27.1262378424651,48.713334636473,5.25726741701249,5.37503551773123,2.87376215753485,1.28666536352705
594,30,50,27.368654706626,48.760711478883,5.24819940003529,5.56877444338778,2.63134529337403,1.239288521117
612,30,50,27.6024233560909,48.8121253542273,5.23149896097194,5.74947587308728,2.39757664390908,1.18787464577269
630,30,50,27.827161644433,48.8664941832816,5.20807618381774,5.91748292618332,2.17283835556704,1.13350581671842
648,30,50,28.0425879133885,48.9229260365223,5.17856184173423,6.07306341204352,1.95741208661146,1.07707396347767
666,30,50,28.2484581416105,48.9807128754925,5.14375287693115,6.21644066765598,1.7515418583895,1.01928712450754
684,30,50,28.4446272058665,49.0391781570736,5.10418787372098,6.34815813018845,1.55537279413345,0.960821842926421
702,30,50,28.6310245797157,49.097744371561,5.06041313634941,6.46867455292957,1.36897542028427,0.902255628438965
720,30,50,28.8076286325246,49.1559021168918,5.01300673385902,6.57852309456434,1.19237136747541,0.844097883108191
738,30,50,28.9744786040945,49.2132001723133,4.96245346937415,6.67828033452021,1.0255213959055,0.786799827686714
756,30,50,29.1316462600951,49.2692834574252,4.90928587501542,6.7684380128696,0.868353739904883,0.730716542574775
774,30,50,29.2792362260402,49.3238640456275,4.85399802075869,6.84951549839542,0.720763773959817,0.676135954372526
792,30,50,29.4173870602288,49.3767243158239,4.79703995431483,6.92199649190066,0.582612939771195,0.623275684176093
810,30,50,29.546262406085,49.4277102807942,4.73885288143665,6.98633718599206,0.453737593914958,0.572289719205834
828,30,50,29.666055964967,49.4767090451165,4.67982221837944,7.04300462634786,0.333944035033049,0.523290954883521
846,30,50,29.776987644178,49.5236467743357,4.62030493879195,7.09244183479868,0.223012355821972,0.476353225664255
864,30,50,29.8792999313217,49.5684767694765,4.56063060916903,7.13508913308011,0.12070006867831,0.43152323052346
882,30,50,29.9732571117999,49.6111725706575,4.50109226210078,7.17138029028802,0.0267428882001362,0.388827429342491
900,30,50,30.0591399767069,49.6517274046099,4.44196318285134,7.20173010769667,-0.059139976706863,0.348272595390057
918,30,50,30.1372433634838,49.6901486528678,4.38348989855568,7.2265445441246,-0.137243363483783,0.309851347132231
936,30,50,30.2078736095998,49.7264567904855,4.32589393363727,7.24621284676617,-0.207873609599844,0.273543209514479
954,30,50,30.2713453724127,49.7606835001436,4.26937596435302,7.26110846606422,-0.271345372412746,0.239316499856443
972,30,50,30.3279801282665,49.7928685228365,4.21411180999955,7.27159258997242,-0.327980128266468,0.207131477163472
990,30,50,30.3781040080696,49.8230585509809,4.16025600881666,7.27801101925845,-0.37810400806957,0.176941449019125
1008,30,50,30.4220459259609,49.8513050820533,4.10794247377533,7.28069696916303,-0.422045925960916,0.148694917946727
1026,30,50,30.4601360842941,49.877662973791,4.05728466930028,7.2799709408996,-0.460136084294081,0.122337026209024
1044,30,50,30.4927041186556,49.9021897552405,4.00837839404721,7.27613984498592,-0.492704118655567,0.0978102447595006
1062,30,50,30.5200776169627,49.9249446598225,3.96130218995359,7.26949808692814,-0.520077616962709,0.0750553401774638
1080,30,50,30.5425806910088,49.9459883108251,3.91611874246465,7.26032669609074,-0.54258069100884,0.0540116891749491
1098,30,50,30.5605325979885,49.965382419402,3.87287634094521,7.24889341081327,-0.560532597988477,0.034617580597974
1116,30,50,30.5742466442268,49.9831894379781,3.83160948343953,7.23545296292922,-0.574246644226811,0.016810562021945
1134,30,50,30.5840291406298,49.9994724273123,3.79234018030161,7.22024679346436,-0.58402914062982,0.00052757268771586
1152,30,50,30.590178515264,50.0142947987913,3.75507887081845,7.20350343500356,-0.590178515264011,-0.0142947987913473
1170,30,50,30.5929845717971,50.0277201130803,3.71982529253767,7.18543861744664,-0.592984571797103,-0.0277201130802922
1188,30,50,30.5927278138877,50.0398119276145,3.68656957148949,7.16625536303224,-0.592727813887723,-0.0398119276144797
1206,30,50,30.5896788990362,50.0506336050112,3.65529304828331,7.14614428706225,-0.589678899036166,-0.0506336050112068
1224,30,50,30.5840981775591,50.0602481829008,3.6259691886139,7.12528371654194,-0.584098177559138,-0.0602481829007502
1242,30,50,30.5762353137037,50.0687182402006,3.59856445457423,7.10383993205813,-0.576235313703666,-0.0687182402006101
1260,30,50,30.5663290057537,50.0761057599552,3.57303905651805,7.08196744106855,-0.566329005753694,-0.0761057599552331
1278,30,50,30.5546067777653,50.082472011103,3.54934773412949,7.05980922318696,-0.554606777765272,-0.0824720111030217
1296,30,50,30.5412848502576,50.0878774144521,3.52744045331047,7.0374970689536,-0.541284850257647,-0.0878774144520804
1314,30,50,30.5265680827834,50.09238141263,3.50726306216082,7.01515191273976,-0.526568082783434,-0.092381412629976
1332,30,50,30.5106499756591,50.096042343098,3.48875792986484,6.99288418948286,-0.510649975659099,-0.09604234309802
1350,30,50,30.4937127317682,50.0989173086798,3.47186452364787,6.9707942283015,-0.493712731768156,-0.0989173086798161
1368,30,50,30.4759273683166,50.1010620583398,3.45651996160587,6.94897264128282,-0.475927368316643,-0.101062058339849
1386,30,50,30.4574538735882,50.1025308737829,3.44265952765731,6.9275007353746,-0.457453873588218,-0.102530873782868
1404,30,50,30.4384414056187,50.1033764643737,3.43021714297632,6.90645093317245,-0.438441405618661,-0.103376464373738
1422,30,50,30.4190285258877,50.1036498736665,3.41912580883604,6.88588719559108,-0.41902852588769,-0.103649873666534
1440,30,50,30.3993434650436,50.1034003948639,3.40931800988388,6.86586545594856,-0.399343465043561,-0.103400394863868
1458,30,50,30.379504416287,50.1026754976758,3.40072608390887,6.84643405318755,-0.379504416286952,-0.10267549767584
1476,30,50,30.3596198518628,50.1015207664243,3.3932825611211,6.82763416583552,-0.359619851862803,-0.101520766424279
1494,30,50,30.3397888595973,50.0999798488737,3.38692046996968,6.80950024559586,-0.339788859597334,-0.0999798488736943
1512,30,50,30.3201014954759,50.0980944168859,3.38157361475032,6.79206044469437,-0.320101495475896,-0.0980944168859494
1530,30,50,30.3006391490446,50.0959041381492,3.37717682472878,6.77533703815394,-0.300639149044642,-0.0959041381491588
1548,30,50,30.281474918766,50.0934466589058,3.37366617567792,6.75934683788348,-0.281474918765987,-0.0934466589057621
1566,30,50,30.2626739943169,50.090757597487,3.37097918649121,6.74410159675695,-0.262673994316906,-0.0907575974869701
1584,30,50,30.2442940434336,50.0878705477923,3.3690549909457,6.7296084025333,-0.244294043433559,-0.0878705477922779
1602,30,50,30.2263856009482,50.0848170922888,3.36783448648327,6.71587005951816,-0.226385600948248,-0.084817092288759
1620,30,50,30.2089924578523,50.081626823757,3.36726046143962,6.70288545751205,-0.208992457852339,-0.0816268237570199
1638,30,50,30.1921520485331,50.0783273749728,3.36727770162734,6.690649927355,-0.192152048533082,-0.0783273749728153
1656,30,50,30.1758958343963,50.0749444556601,3.36783307797749,6.6791555820931,-0.175895834396343,-0.0749444556601304
1674,30,50,30.1602496823232,50.0715018958803,3.36887561633928,6.66839164359779,-0.160249682323197,-0.0715018958802887
1692,30,50,30.1452342365799,50.0680216951241,3.37035655066708,6.65834475411893,-0.14523423657986,-0.068021695124088
1710,30,50,30.1308652829248,50.0645240763863,3.37222936093802,6.64899927251447,-0.130865282924752,-0.0645240763863058
1728,30,50,30.1171541038471,50.0610275444746,3.37444979685232,6.64033755513689,-0.117154103847138,-0.0610275444746122
1746,30,50,30.1041078239954,50.0575489478871,3.37697588851853,6.63234022124852,-0.104107823995356,-0.0575489478870637
1764,30,50,30.0917297449872,50.0541035435946,3.37976794522851,6.62498640308412,-0.0917297449872159,-0.0541035435945787
1782,30,50,30.0800196689312,50.0507050641055,3.38278854334681,6.61825398070722,-0.0800196689312145,-0.0507050641055002
1800,30,50,30.0689742100917,50.0473657862454,3.38600250437583,6.61211980184006,-0.0689742100916959,-0.0473657862454289
1818,30,50,30.0585870942457,50.0440966011121,3.38937686415656,6.60655988697051,-0.0585870942457305,-0.0440966011120594
1836,30,50,30.0488494453796,50.0409070847191,3.39288083414078,6.60154962003984,-0.0488494453795667,-0.0409070847191373
1854,30,50,30.0397500594622,50.037805568886,3.39648575563771,6.59706392507776,-0.0397500594622038,-0.0378055688859504
1872,30,50,30.0312756651233,50.0347992119671,3.40016504786893,6.59307742919762,-0.0312756651232746,-0.0347992119670693
1890,30,50,30.0234111711395,50.0318940690631,3.40389415063814,6.58956461237754,-0.0234111711395357,-0.0318940690631422
1908,30,50,30.0161399007068,50.0290951613892,3.4076504623711,6.5864999444956,-0.0161399007068184,-0.029095161389165
1926,30,50,30.0094438125414,50.0264065445143,3.41141327423271,6.58385801010213,-0.00944381254139515,-0.0264065445142521
1944,30,50,30.0033037089134,50.0238313752229,3.41516370099133,6.58161362142692,-0.00330370891341403,-0.0238313752228763
1962,30,50,29.9976994307698,50.0213719767789,3.41888460925135,6.57974192013639,0.00230056923024335,-0.021371976778866
1980,30,50,29.9926100401519,50.0190299024051,3.4225605436347,6.57821846835959,0.00738995984809065,-0.0190299024051228
1998,30,50,29.9880139901573,50.0168059968202,3.42617765145105,6.57701932950858,0.0119860098427012,-0.0168059968202385
2016,30,50,29.9838892827308,50.0147004556994,3.42972360635413,6.57612113942057,0.0161107172691857,-0.0147004556993764
2034,30,50,29.9802136146064,50.0127128829511,3.43318753144323,6.5755011683479,0.0197863853935587,-0.012712882951071
2052,30,50,29.9769645117476,50.010842345724,3.43655992223107,6.57513737431823,0.0230354882523827,-0.0108423457239795
2070,30,50,29.9741194526597,50.0090874270777,3.43983256986097,6.57500844838204,0.0258805473402717,-0.00908742707765953
2088,30,50,29.9716559809685,50.00744627627,3.44299848492266,6.57509385225722,0.0283440190315112,-0.00744627626998096
2106,30,50,29.969551807675,50.0059166566305,3.44605182218076,6.57537384887048,0.0304481923250037,-0.00591665663054641
2124,30,50,29.9677849035116,50.0044959910046,3.4489878064981,6.5758295262852,0.0322150964884251,-0.00449599100457476
2142,30,50,29.9663335818326,50.0031814047656,3.45180266020517,6.57644281549232,0.0336664181673534,-0.00318140476555584
2160,30,50,29.965176572482,50.001969766407,3.45449353213768,6.57719650252864,0.0348234275180062,-0.00196976640700086
2178,30,50,29.9642930870823,50.0008577257349,3.45705842853564,6.57807423537117,0.035706912917707,-0.000857725734888959
2196,30,50,29.9636628761944,49.999841749692,3.45949614597247,6.57906052604231,0.0363371238055805,0.000158250307968899
2214,30,50,29.9632662787937,49.9989181558544,3.46180620645629,6.58014074834352,0.0367337212062537,0.0010818441455811
2232,30,50,29.9630842645079,49.998083143647,3.46398879482357,6.58130113162013,0.0369157354921086,0.00191685635297034
2250,30,50,29.9630984690559,49.9973328233335,3.46604469852289,6.58252875094156,0.0369015309440819,0.00266717666646343
2268,30,50,29.9632912233227,49.99666324284,3.46797524986636,6.58381151406524,0.0367087766772656,0.00333675716003512
2286,30,50,29.9636455764946,49.9960704124773,3.46978227080755,6.58513814553481,0.0363544235053972,0.00392958752269834
2304,30,50,29.9641453136725,49.9955503276324,3.47146802028721,6.58649816824495,0.035854686327454,0.00444967236756355
2322,30,50,29.96477496837,49.9950989895001,3.47303514417216,6.58788188278905,0.0352250316300342,0.0049010104999283
2340,30,50,29.9655198302896,49.9947124239312,3.47448662779727,6.58928034488714,0.0344801697104344,0.00528757606879537
2358,30,50,29.9663659487621,49.9943866984759,3.47582575110819,6.59068534117501,0.0336340512379181,0.00561330152405048
2376,30,50,29.9673001322165,49.9941179377002,3.47705604638881,6.59208936361775,0.0326998677835171,0.00588206229978994
2394,30,50,29.9683099440375,49.9939023368567,3.47818125854708,6.59348558279466,0.0316900559624962,0.00609766314331495
2412,30,50,29.9693836951521,49.9937361739915,3.47920530792319,6.59486782028532,0.0306163048479213,0.0062638260084924
2430,30,50,29.9705104336719,49.9936158205679,3.48013225557372,6.59623052037088,0.0294895663281451,0.00638417943207514
2448,30,50,29.9716799319039,49.9935377506883,3.48096627097935,6.59756872124865,0.0283200680961428,0.00646224931166728
2466,30,50,29.9728826710264,49.9934985489955,3.48171160211523,6.59887802594254,0.0271173289735636,0.0065014510045458
2484,30,50,29.9741098237125,49.9934949173324,3.48237254781779,6.6001545730778,0.0258901762875396,0.00650508266761562
2502,30,50,29.9753532349664,49.9935236802403,3.48295343237672,6.60139500767325,0.0246467650335909,0.00647631975969887
2520,30,50,29.9766054014271,49.9935817893711,3.48345858227567,6.60259645209097,0.0233945985728958,0.00641821062890813
2538,30,50,29.9778594493726,49.9936663268905,3.48389230500293,6.60375647726998,0.0221405506274124,0.00633367310953048
2556,30,50,29.979109111649,49.9937745079452,3.48425886984891,6.60487307435809,0.0208908883509693,0.00622549205477441
2574,30,50,29.9803487037309,49.9939036822663,3.48456249060613,6.60594462684339,0.0196512962690534,0.00609631773368591
2592,30,50,29.9815730991056,49.9940513349772,3.48480731008561,6.60696988327583,0.0184269008943758,0.00594866502281377
2610,30,50,29.9827777041609,49.9942150866743,3.48499738636184,6.60794793065855,0.0172222958391082,0.00578491332568376
2628,30,50,29.9839584327418,49.9943926928447,3.48513668065843,6.60887816857734,0.016041567258231,0.00560730715528734
2646,30,50,29.9851116805282,49.9945820426822,3.48522904678713,6.60976028412853,0.0148883194717797,0.00541795731781036
2664,30,50,29.9862342993738,49.994781157362,3.48527822205134,6.61059422769458,0.0137657006261769,0.00521884263801553
2682,30,50,29.9873235717326,49.9949881878304,3.48528781952845,6.61138018960941,0.0126764282674081,0.00501181216962721
2700,30,50,29.9883771852897,49.9952014121633,3.48526132164412,6.61211857774693,0.0116228147103286,0.00479858783670295
2718,30,50,29.9893932079002,49.9954192325452,3.48520207495489,6.61280999605902,0.0106067920998427,0.0045807674547973
2736,30,50,29.9903700629296,49.9956401719168,3.4851132860559,6.61345522408159,0.00962993707042159,0.00435982808321711
2754,30,50,29.9913065050793,49.9958628703373,3.48499801853316,6.61405519742216,0.00869349492067784,0.00413712966273039
2772,30,50,29.9922015967705,49.9960860811045,3.48485919088167,6.61461098923536,0.00779840322952907,0.0039139188955204
2790,30,50,29.9930546851503,49.9963086666729,3.48469957531333,6.61512379268803,0.00694531484974448,0.00369133332705474
2808,30,50,29.9938653797767,49.9965295944081,3.48452179738061,6.61559490441013,0.00613462022332456,0.00347040559191214
2826,30,50,29.9946335310285,49.9967479322114,3.48432833634493,6.61602570892425,0.00536646897145587,0.003252067788587
2844,30,50,29.9953592092805,49.9969628440497,3.48412152622172,6.61641766404079,0.00464079071952384,0.00303715595033793
2862,30,50,29.9960426848752,49.997173585418,3.48390355743608,6.61677228720403,0.00395731512479358,0.00282641458198185
2880,30,50,29.9966844089188,49.9973794987653,3.48367647902687,6.61709114276996,0.00331559108121482,0.00262050123474467
2898,30,50,29.997284994918,49.9975800089064,3.4834422013393,6.61737583019428,0.00271500508197775,0.00241999109358915
2916,30,50,29.9978452012737,49.9977746184464,3.48320249914946,6.61762797310637,0.00215479872632685,0.00222538155364305
2934,30,50,29.9983659146376,49.9979629032353,3.4829590151668,6.61784920924332,0.00163408536236886,0.00203709676465991
2952,30,50,29.9988481341374,49.9981445078758,3.48271326386408,6.6180411812156,0.00115186586263505,0.0018554921242071
2970,30,50,29.9992929564664,49.9983191412975,3.48246663558686,6.6182055280749,0.000707043533587637,0.00168085870248547
2988,30,50,29.9997015618357,49.9984865724166,3.48222040089751,6.61834387765343,0.000298438164314518,0.00151342758341855
3006,30,50,30.0000752007766,49.9986466258915,3.48197571511175,6.61845783964282,-7.5200776642248e-05,0.00135337410850411
3024,30,50,30.0004151817839,49.9987991779886,3.48173362298895,6.61854899937975,-0.000415181783942842,0.00120082201144101
3042,30,50,30.0007228597825,49.9989441525666,3.48149506353895,6.61861891230592,-0.00072285978249198,0.00105584743342746
3060,30,50,30.0009996254009,49.9990815171898,3.48126087491228,6.61866909906826,-0.000999625400922355,0.000918482810213561
3078,30,50,30.0012468950313,49.9992112793765,3.48103179934256,6.6187010412263,-0.00124689503133979,0.000788720623532413
3096,30,50,30.0014661016532,49.999333482989,3.48080848811221,6.61871617753319,-0.00146610165320027,0.000666517010962764
3114,30,50,30.0016586863974,49.9994482047707,3.48059150651545,6.6187159007571,-0.00165868639743749,0.000551795229270624
3132,30,50,30.0018260908255,49.9995555510324,3.48038133879491,6.61870155500995,-0.00182609082548169,0.000444448967570565
3150,30,50,30.0019697498967,49.9996556544923,3.48017839303005,6.61867443355144,-0.00196974989666288,0.000344345507727439
3168,30,50,30.0020910855965,49.9997486712698,3.47998300595822,6.61863577703615,-0.00209108559650417,0.000251328730236366
3186,30,50,30.0021915011977,49.9998347780351,3.47979544771082,6.61858677217292,-0.00219150119770717,0.000165221964934403
3204,30,50,30.002272376125,49.9999141693135,3.47961592644933,6.61852855076602,-0.00227237612501341,8.58306865367808e-05
3222,30,50,30.0023350613949,49.9999870549442,3.47944459288765,6.61846218910851,-0.00233506139488071,1.29450557579958e-05
3240,30,50,30.0023808756006,50.0000536576924,3.47928154468893,6.61838870769959,-0.00238087560063605,-5.3657692397735e-05
3258,30,50,30.0024111014138,50.0001142110111,3.47912683072691,6.61830907125809,-0.00241110141380574,-0.0001142110111374
3276,30,50,30.0024269825724,50.0001689569526,3.47898045520312,6.61822418900559,-0.00242698257241614,-0.000168956952578014
3294,30,50,30.0024297213273,50.0002181442235,3.4788423816129,6.61813491519373,-0.00242972132734209,-0.000218144223495642
3312,30,50,30.0024204763181,50.0002620263825,3.47871253655447,6.61804204985164,-0.00242047631810749,-0.000262026382486624
