Cenario,Variavel,Patamar,Media_Saida,Media_Controle,Var_Saida,Var_Controle,IAE,ITAE,IG
1,Temperatura,P1 (30°C),29.56729144,4.355174776,3.043817409,2.306077865,137.3857772,23798.45316,16.22386718
1,Temperatura,P2 (36°C),35.89846478,7.489052046,0.531215506,0.598810265,77.21785401,476806.7737,9.638762995
1,Umidade,P1 (55%),54.86065231,1.372448009,0.520044061,0.121032184,93.68984103,94173.78022,9.728196234
1,Umidade,P2 (65%),64.76745775,2.319151623,1.702726233,0.003232861,72.33326113,787839.6797,7.699419441
2,Temperatura,P1 (30°C),29.60205728,3.65438623,3.096036626,2.634279386,143.4454409,26564.95951,16.91941691
2,Temperatura,P2 (36°C),35.89635678,6.251160936,0.528034825,0.608635788,81.49411897,526440.1724,9.825689136
2,Umidade,P1 (55%),54.86400065,1.160462554,0.52946651,0.085428331,102.0346519,122697.6507,10.49535754
2,Umidade,P2 (65%),64.76836983,2.003525035,1.699711866,0.003861555,74.6475015,814633.0933,7.868158245
100,Temperatura,P1 (30°C),29.57643964,3.97982382,3.058479881,2.464069325,138.9796669,24257.24492,16.41877998
100,Temperatura,P2 (36°C),35.90028357,6.80715374,0.533047976,0.607220324,76.99918025,475948.7685,9.486403
100,Umidade,P1 (55%),54.86793633,1.178301704,0.503968156,0.087238469,91.00747078,88045.83982,9.397474347
100,Umidade,P2 (65%),64.7705906,2.010170858,1.694478511,0.003313302,71.75790062,781676.8777,7.580143546
