Tempo,Referencia_Temperatura,Referencia_Umidade,Saida_Temperatura,Saida_Umidade,Erro_Temperatura,Erro_Umidade
18,30,50,22,50,8,0
36,30,50,22,50,8,0
54,30,50,22,50,8,0
72,30,50,22,50,8,0
90,30,50,22,50,8,0
108,30,50,22,50,8,0
126,30,50,22,50,8,0
144,30,50,22.6965669852513,48.9672447680682,7.30343301474868,1.03275523193176
162,30,50,23.3713328577716,47.9927951687376,6.6286671422284,2.00720483126239
180,30,50,24.024979947511,47.2668228363982,5.97502005248903,2.73317716360179
198,30,50,24.6546986299652,46.7509198143806,5.34530137003484,3.24908018561943
216,30,50,25.1874338605792,46.3752379704816,4.81256613942076,3.62476202951843
234,30,50,25.6271414808573,46.0853731562218,4.37285851914272,3.91462684377821
252,30,50,25.983879526846,45.9314832931202,4.01612047315403,4.06851670687976
270,30,50,26.266565562792,45.8905185198531,3.73343443720801,4.10948148014686
288,30,50,26.4883928595802,45.9276070422596,3.51160714041981,4.07239295774036
306,30,50,26.66134918068,46.0156248791897,3.33865081932002,3.98437512081031
324,30,50,26.7968689744391,46.1279079517225,3.20313102556085,3.87209204827749
342,30,50,26.9046658149959,46.245097651464,3.0953341850041,3.754902348536
360,30,50,26.992295897037,46.3555072018763,3.00770410296297,3.64449279812374
378,30,50,27.0654581873434,46.45284582014,2.93454181265661,3.54715417986004
396,30,50,27.1281562214349,46.5347430064324,2.87184377856506,3.46525699356759
414,30,50,27.1830579232497,46.6012749352673,2.81694207675035,3.3987250647327
432,30,50,27.2318779689047,46.6539732933207,2.7681220310953,3.3460267066793
450,30,50,27.2756780665309,46.6950833123436,2.72432193346913,3.30491668765636
468,30,50,27.3151103694247,46.7270185692128,2.68488963057533,3.27298143078724
486,30,50,27.3505930302305,46.7520340391219,2.6494069697695,3.24796596087809
504,30,50,27.3824269769905,46.7720454774054,2.61757302300953,3.22795452259459
522,30,50,27.4108678287001,46.7885617056398,2.58913217129992,3.21143829436022
540,30,50,27.4361638717159,46.8026962410731,2.56383612828405,3.19730375892691
558,30,50,27.458571403978,46.8152211302446,2.54142859602203,3.18477886975541
576,30,50,27.4783562662964,46.8266381949603,2.52164373370358,3.17336180503965
594,30,50,27.4957881546004,46.8372511287399,2.50421184539958,3.16274887126007
612,30,50,27.5111323893407,46.8472289472753,2.48886761065931,3.15277105272469
630,30,50,27.5246419537383,46.8566567877203,2.47535804626168,3.14334321227969
648,30,50,27.5365512637558,46.8655733536397,2.46344873624416,3.13442664636031
666,30,50,27.5470721953528,46.8739963040345,2.45292780464717,3.12600369596548
684,30,50,27.55639229876,46.8819378247413,2.44360770123997,3.11806217525874
702,30,50,27.5646748205646,46.8894128597039,2.43532517943544,3.11058714029608
720,30,50,27.5720600370223,46.8964423205263,2.4279399629777,3.1035576794737
738,30,50,27.5786674070564,46.9030532061529,2.42133259294357,3.0969467938471
756,30,50,27.5845981261967,46.9092770997643,2.41540187380335,3.09072290023572
774,30,50,27.5899377627468,46.9151480613422,2.41006223725322,3.08485193865782
792,30,50,27.5947587595394,46.9207005512797,2.40524124046063,3.07929944872027
810,30,50,27.5991226739978,46.9259677244914,2.40087732600217,3.07403227550862
828,30,50,27.6030820992785,46.9309802258895,2.39691790072145,3.06901977411047
846,30,50,27.6066822589272,46.9357654854482,2.39331774107282,3.06423451455181
864,30,50,27.6099622988059,46.9403474381619,2.39003770119406,3.05965256183806
882,30,50,27.6129563166392,46.9447465641216,2.38704368336078,3.05525343587843
900,30,50,27.6156941753783,46.948980141663,2.3843058246217,3.05101985833701
918,30,50,27.6182021453839,46.9530626200904,2.38179785461614,3.04693737990956
936,30,50,27.6205034151937,46.9570060390321,2.37949658480634,3.04299396096786
954,30,50,27.6226185036373,46.9608204432163,2.3773814963627,3.03917955678373
972,30,50,27.6245655988084,46.9645142609286,2.37543440119156,3.03548573907135
990,30,50,27.62636084282,46.968094630006,2.37363915717997,3.03190536999404
1008,30,50,27.6280185757983,46.9715676665292,2.37198142420168,3.02843233347085
1026,30,50,27.6295515483404,46.9749386787507,2.37044845165961,3.0250613212493
1044,30,50,27.6309711085908,46.9782123329304,2.36902889140916,3.02178766706961
1062,30,50,27.6322873680041,46.9813927794922,2.36771263199588,3.01860722050784
1080,30,50,27.633509348531,46.9844837480362,2.36649065146904,3.01551625196381
1098,30,50,27.6346451131867,46.9874886189006,2.36535488681332,3.01251138109939
