Tempo,Referencia_Temperatura,Referencia_Umidade,Saida_Temperatura,Saida_Umidade,Sinal_Controle_Temperatura,Sinal_Controle_Umidade,Erro_Temperatura,Erro_Umidade
18,30,50,22,50,0,0,8,0
36,30,50,22,50,0,0,8,0
54,30,50,22,50,0,0,8,0
72,30,50,22,50,0,0,8,0
90,30,50,22,50,0,0,8,0
108,30,50,22,50,0,0,8,0
126,30,50,22,50,0,0,8,0
126,30,50,22,50,1.53446033810143,9.99200722162641e-17,8,0
144,30,50,22,50,3.06892067620286,1.99840144432528e-16,8,0
162,30,50,22,50,4.60338101430429,2.99760216648792e-16,8,0
180,30,50,22,50,6.13784135240572,3.99680288865056e-16,8,0
198,30,50,22.1349711313394,50,7.14762280220088,4.9960036108132e-16,7.8650288686606,0
216,30,50,22.40837772671,50,7.73278905626515,5.99520433297584e-16,7.59162227328999,0
234,30,50,22.81576216417,49.8014408322497,7.98830261321249,0.800768826272972,7.18423783582997,0.198559167750325
252,30,50,23.3528103572042,49.4189292528384,7.98029269398833,2.17482560673783,6.64718964279583,0.581070747161554
270,30,50,23.9691963778675,49.0209286554797,7.76493809999093,3.6093045288304,6.03080362213247,0.979071344520257
288,30,50,24.6194982460063,48.7051719800716,7.40630623476263,4.82901977281535,5.38050175399375,1.29482801992839
306,30,50,25.2557693177744,48.5257718754351,7.0018985177783,5.63327865531016,4.74423068222558,1.47422812456493
324,30,50,25.8441802934792,48.470960800086,6.57936996698135,6.35556272954467,4.15581970652076,1.52903919991399
342,30,50,26.367365239411,48.4916662257559,6.1664935381634,6.96048452053586,3.63263476058899,1.50833377424414
360,30,50,26.819826265481,48.5986665062997,5.78847282552678,7.15509982104224,3.18017373451903,1.40133349370027
378,30,50,27.2071678526886,48.7824529946866,5.45322546032426,6.99390447268929,2.79283214731144,1.21754700531345
396,30,50,27.5318379295571,48.9740449260051,5.17512079609771,6.72346224037026,2.46816207044289,1.02595507399487
414,30,50,27.8003520199127,49.1153139294997,4.95961497661136,6.56885905605097,2.19964798008727,0.884686070500294
432,30,50,28.0260747650139,49.2012494813392,4.79343468424422,6.58846008074915,1.9739252349861,0.798750518660832
450,30,50,28.2206551595216,49.2670226642987,4.65937023332927,6.66089964453873,1.77934484047836,0.732977335701321
468,30,50,28.3914207330502,49.3486811465337,4.54756276802993,6.62944317412495,1.60857926694977,0.651318853466272
486,30,50,28.5419164766652,49.4506515079503,4.45479488007737,6.46766500852743,1.45808352333483,0.549348492049653
504,30,50,28.6739802818947,49.5445709684452,4.38126668840939,6.29273223274759,1.32601971810526,0.455429031554814
522,30,50,28.7905818095089,49.6012898810386,4.32335884811027,6.24346099789459,1.20941819049107,0.398710118961418
540,30,50,28.8964564691462,49.6207746190792,4.27129560252936,6.35008272993612,1.10354353085381,0.379225380920808
558,30,50,28.995822166779,49.631491849018,4.21433594564379,6.49187449948444,1.004177833221,0.36850815098196
576,30,50,29.0901898041087,49.6629359669711,4.14847293306497,6.52267599803225,0.909810195891296,0.337064033028881
594,30,50,29.1782374588133,49.7158786305844,4.07908854847739,6.43128449374879,0.821762541186718,0.28412136941558
612,30,50,29.2578276987603,49.7632091849183,4.01483074064211,6.33985509541643,0.742172301239698,0.236790815081726
630,30,50,29.3285971994826,49.7815620638692,3.95996406937795,6.36949496012143,0.67140280051736,0.218437936130769
648,30,50,29.3923470392016,49.7767203901478,3.91077661986449,6.48856086324139,0.607652960798397,0.223279609852199
666,30,50,29.4509512255734,49.7771528272372,3.86267501230466,6.60415697856375,0.549048774426595,0.222847172762826
684,30,50,29.5044158074011,49.8010315911671,3.81700130276898,6.59835951635569,0.495584192598908,0.198968408832897
702,30,50,29.5512234763113,49.8439220928641,3.7802800041777,6.48459020400421,0.448776523688675,0.156077907135895
720,30,50,29.5905673290388,49.8789456487365,3.75750595309134,6.3875461578351,0.40943267096123,0.12105435126346
738,30,50,29.6233146711486,49.8866662914974,3.74840030037575,6.41158902727494,0.376685328851433,0.11333370850258
756,30,50,29.6523599496048,49.8757088520597,3.74407511479407,6.48051356010384,0.347640050395178,0.124291147940276
774,30,50,29.6803258750885,49.8720593108604,3.73566557005989,6.54952457729474,0.319674124911497,0.127940689139564
792,30,50,29.7076536936008,49.8837152111553,3.72177636413359,6.55676362508146,0.29234630639921,0.116284788844723
810,30,50,29.7332842018797,49.9071270770248,3.7065891013523,6.4974351999995,0.26671579812032,0.0928729229751752
828,30,50,29.7569628918772,49.9266162692228,3.69155115058636,6.44574666100487,0.243037108122756,0.0733837307772092
846,30,50,29.7786366406429,49.9287874829491,3.67742588151608,6.47356784394906,0.221363359357134,0.0712125170508742
864,30,50,29.7991583411764,49.9181773548664,3.66151386421745,6.52575691080597,0.200841658823592,0.0818226451335775
882,30,50,29.8194880591841,49.9121303163339,3.64044102275869,6.57421384397557,0.180511940815869,0.0878696836660708
900,30,50,29.8391377886307,49.9156158803094,3.61612388715828,6.60282967871369,0.160862211369299,0.0843841196905899
918,30,50,29.856691278287,49.9269923572574,3.59421571004729,6.58846294670732,0.143308721712955,0.0730076427426383
936,30,50,29.8716464432545,49.9409821698009,3.57729102689819,6.55451637765341,0.12835355674553,0.0590178301990676
954,30,50,29.8837617326391,49.948941350514,3.56708460114316,6.54440923037157,0.11623826736092,0.0510586494860092
972,30,50,29.893308936561,49.9488171395094,3.56340562155915,6.57186396749967,0.106691063439008,0.0511828604906484
990,30,50,29.9013554430626,49.9476678228748,3.56284115124407,6.6001919979582,0.0986445569373942,0.0523321771251517
1008,30,50,29.9086062581269,49.9533563490668,3.56306252414159,6.59836959208964,0.0913937418730981,0.0466436509331629
1026,30,50,29.915108956238,49.9646527062917,3.56411656402873,6.56429838737192,0.0848910437620454,0.0353472937082628
1044,30,50,29.920818612126,49.9741913738551,3.56640158584937,6.5333126828686,0.0791813878740228,0.0258086261449293
1062,30,50,29.9261556409547,49.9754895618246,3.56848952485266,6.54033322803937,0.073844359045335,0.024510438175426
1080,30,50,29.9318422705943,49.9700909542115,3.56763302898703,6.56665910131081,0.0681577294057192,0.0299090457885498
1098,30,50,29.9384586822093,49.9658420385427,3.56143838110772,6.5877043638103,0.0615413177907342,0.0341579614573106
1116,30,50,29.945853514632,49.9660393212759,3.55023294741304,6.60499308297982,0.0541464853680402,0.0339606787240641
1134,30,50,29.9532328490774,49.969109607641,3.53691664273555,6.6070661734725,0.0467671509225873,0.0308903923590194
1152,30,50,29.9600155747584,49.9735725809605,3.52378347290776,6.60019236296084,0.0399844252415598,0.0264274190394644
1170,30,50,29.9658431651244,49.9762713472047,3.51242638254939,6.60018138198012,0.0341568348756383,0.0237286527952776
1188,30,50,29.9703960211712,49.9762757817935,3.50439769869267,6.61290193990299,0.0296039788288347,0.0237242182064676
1206,30,50,29.9737921084835,49.9761968049971,3.49961533007758,6.62570597365664,0.0262078915165276,0.0238031950028983
1224,30,50,29.9761883873649,49.9792019452639,3.49780494885506,6.62267947157936,0.0238116126350754,0.0207980547361188
1242,30,50,29.9775925892779,49.985065194486,3.4992375184404,6.60306372575627,0.0224074107221028,0.0149348055139882
1260,30,50,29.978107895575,49.9902858526968,3.50380092398332,6.58366159222067,0.0218921044249747,0.00971414730324938
1278,30,50,29.9781171022813,49.9917386933596,3.51023332733422,6.58123156027647,0.0218828977186512,0.00826130664040647
1296,30,50,29.9782405410213,49.9899160342438,3.51620668427555,6.59014422279727,0.0217594589786714,0.0100839657562091
1314,30,50,29.9790431311245,49.9882244839426,3.51943255303512,6.59848677037034,0.0209568688755084,0.0117755160574262
1332,30,50,29.9807060615553,49.9884070229083,3.518992099214,6.60385517987052,0.0192939384446582,0.0115929770916736
1350,30,50,29.9830291140578,49.9896945988129,3.51543295668997,6.60330446046183,0.016970885942218,0.0103054011870825
1368,30,50,29.9857593129204,49.9908534925367,3.50956851601258,6.60273939657744,0.0142406870795675,0.00914650746326373
1386,30,50,29.9886591257019,49.9904990662688,3.50222321966484,6.60793898916132,0.0113408742980958,0.0095009337311609
1404,30,50,29.9914573189801,49.9889188214087,3.49442481624163,6.6157356140088,0.00854268101988964,0.0110811785912972
1422,30,50,29.9939620766239,49.9876929434623,3.48696597643363,6.62266515817598,0.00603792337606279,0.0123070565376864
1440,30,50,29.9959368249754,49.9877338675347,3.48087563285115,6.62906568993122,0.00406317502459785,0.0122661324653492
1458,30,50,29.9971424261957,49.9891955390545,3.47726575341376,6.62796030465018,0.00285757380425622,0.0108044609454581
1476,30,50,29.997512932603,49.9920262625873,3.47663140349966,6.61887166538014,0.00248706739701987,0.00797373741268359
1494,30,50,29.9971193466894,49.9947695307453,3.47813318055408,6.60872070394095,0.00288065331056941,0.00523046925474802
1512,30,50,29.9961433591281,49.9960600792527,3.48180255748453,6.60473443865203,0.00385664087186299,0.00393992074731386
1530,30,50,29.9949842283122,49.9960252514033,3.48616666757309,6.60688174474203,0.00501577168783029,0.00397474859671831
1548,30,50,29.9940558251124,49.995986121357,3.489693655634,6.60905119586008,0.00594417488759902,0.00401387864302194
1566,30,50,29.9935383776367,49.9968169485102,3.49171055365496,6.60683151752715,0.0064616223633216,0.00318305148983455
1584,30,50,29.9934816677771,49.9979631712489,3.49365034648901,6.60250380186799,0.00651833222292098,0.00203682875109479
1602,30,50,29.9938319026546,49.9982329735921,3.4941797980175,6.6021771196245,0.00616809734537327,0.00176702640786885
1620,30,50,29.9945195003603,49.9971074762027,3.49325892600881,6.60758688839945,0.00548049963968822,0.00289252379727856
1638,30,50,29.9954773814682,49.995473647859,3.49105628340709,6.61544638383189,0.00452261853182989,0.00452635214099928
1656,30,50,29.9966995925125,49.994581179313,3.4875161116437,6.61982766395462,0.00330040748750804,0.00541882068699095
1674,30,50,29.9979588253225,49.9949071002953,3.48346669438941,6.62102416442361,0.0020411746775153,0.0050928997046924
1692,30,50,29.9990101030204,49.9956154322031,3.47987388689062,6.6200301361443,0.000989896979582738,0.00438456779691165
1710,30,50,29.9997123456813,49.9961925861696,3.47736248558534,6.61934635562144,0.000287654318650965,0.0038074138304296
1728,30,50,30.0000266609826,49.9964481010127,3.47619986978148,6.62004744414232,-2.66609826127251e-05,0.0035518989872898
1746,30,50,29.9999767395648,49.9966943418407,3.47638494231111,6.62065999531389,2.32604352135013e-05,0.0033056581592561
1764,30,50,29.9996465190967,49.9973952399097,3.47761202335044,6.61874386174922,0.000353480903285686,0.00260476009032118
1782,30,50,29.9991291820496,49.9985392155738,3.47953914105119,6.61411684026216,0.000870817950389124,0.00146078442624997
1800,30,50,29.9985289455098,49.9995277252721,3.48178225002114,6.60969297642585,0.00147105449022433,0.000472274727911781
1818,30,50,29.9979829057087,49.9997639099526,3.48383378214214,6.60870166623962,0.0020170942912614,0.000236090047380344
1836,30,50,29.9976391560018,49.9992822891864,3.48514298763369,6.6110026439469,0.00236084399820058,0.000717710813646022
1854,30,50,29.9976004289977,49.9987001440545,3.48586087264222,6.61379623509828,0.0023995710022966,0.00129985594548998
1872,30,50,29.9978677230283,49.9985086618013,3.4855031915083,6.61474633456075,0.00213227697166474,0.00149133819866165
1890,30,50,29.9983412901071,49.9986091246579,3.48424271175147,6.61501903127462,0.00165870989285821,0.001390875342139
1908,30,50,29.9988886503949,49.9985506213441,3.48254747967604,6.61581393532666,0.00111134960507897,0.00144937865587735
1926,30,50,29.9994505820753,49.9982387290262,3.48063207762496,6.61734191852908,0.000549417924705864,0.00176127097379464
1944,30,50,29.9999639414536,49.9978944619158,3.47874425706607,6.61903315947274,3.60585464420637e-05,0.00210553808420855
1962,30,50,30.0003548104101,49.997734445886,3.47729858439272,6.62029314803054,-0.000354810410090778,0.00226555411401108
1980,30,50,30.0005720264716,49.9979005839007,3.47649505252353,6.62063607755517,-0.000572026471608922,0.00209941609928421
1998,30,50,30.0005861832029,49.9983886484717,3.47632155010637,6.61919255637902,-0.00058618320285575,0.00161135152833936
2016,30,50,30.0004040826112,49.9990284933023,3.47687559907517,6.61668655128228,-0.000404082611186851,0.000971506697680979
2034,30,50,30.0000820039764,49.9994937282737,3.47804264834424,6.61475644315738,-8.20039764093394e-05,0.00050627172634421
2052,30,50,29.9997051661056,49.9996323678955,3.47944115855811,6.61429776299049,0.000294833894443514,0.000367632104513405
2070,30,50,29.9993675996535,49.999578899229,3.48069986238865,6.61456322949185,0.000632400346482598,0.00042110077104951
2088,30,50,29.9991494233504,49.9995708943969,3.48152054981057,6.61479620677803,0.000850576649639834,0.000429105603096502
2106,30,50,29.9990868377952,49.9996592926548,3.4818033423938,6.61456093838662,0.000913162204810192,0.000340707345216629
2124,30,50,29.9991686956575,49.9997198918664,3.48174654262975,6.61442469943461,0.000831304342540307,0.000280108133551948
2142,30,50,29.9993662231886,49.9995806366631,3.4812034192286,6.6150963388836,0.000633776811355347,0.000419363336888523
2160,30,50,29.9996384744599,49.9992543396258,3.48030336235635,6.61666297674913,0.000361525540121477,0.00074566037419288
2178,30,50,29.999940924444,49.9989362695137,3.47920210873547,6.61819992030055,5.90755560097023e-05,0.00106373048628683
2196,30,50,30.0002349007117,49.998839465938,3.47811470342943,6.61884921257395,-0.00023490071170329,0.00116053406204486
2214,30,50,30.0004587844784,49.9989819193264,3.47728651149478,6.61872249142637,-0.000458784478361451,0.00101808067358178
2232,30,50,30.0005659806003,49.9992021703456,3.4768899266556,6.618108908306,-0.000565980600264027,0.000797829654402449
2250,30,50,30.000545199122,49.9994026646119,3.47680544447804,6.61748097329399,-0.000545199122015561,0.000597335388079046
2268,30,50,30.0004193836444,49.9995491999312,3.47714677150846,6.61702966370778,-0.000419383644352678,0.000450800068755086
2286,30,50,30.000229803353,49.9996856629823,3.47778006989293,6.61655260879528,-0.000229803352965519,0.000314337017726984
2304,30,50,30.0000256438095,49.9998550263189,3.47852772156776,6.6158286299424,-2.5643809486553e-05,0.000144973681059923
2322,30,50,29.9998358217261,50.0000192192448,3.47923256131589,6.61505111029083,0.000164178273873716,-1.92192448125184e-05
2340,30,50,29.9996952228277,50.0000806369749,3.47975758229809,6.61476024964069,0.000304777172296156,-8.06369749000169e-05
2358,30,50,29.999630831609,50.0000106842894,3.48000172112137,6.61508577766395,0.000369168390950136,-1.06842894425085e-05
2376,30,50,29.9996555656498,49.9998709713688,3.48001215720424,6.61575113991082,0.000344434350243006,0.000129028631150163
2394,30,50,29.9997618416959,49.9997475461252,3.47968946976179,6.61634296933434,0.000238158304103564,0.000252453874807657
2412,30,50,29.9999198038648,49.9996779440068,3.47912883640629,6.61668195535121,8.0196135218813e-05,0.000322055993166259
2430,30,50,30.000090134584,49.9996352496163,3.47849871578077,6.61689475964499,-9.01345840418344e-05,0.000364750383681667
2448,30,50,30.0002450639534,49.9995841169184,3.47792556236038,6.6171490121502,-0.000245063953435931,0.000415883081586799
2466,30,50,30.0003571313402,49.9995361327149,3.47751095763441,6.6174109300398,-0.000357131340216199,0.000463867285091624
2484,30,50,30.0004101563308,49.9995294406238,3.47731477515558,6.61766587919121,-0.000410156330840294,0.000470559376239521
2502,30,50,30.0004008249459,49.9996064822534,3.47723066047024,6.61751280866228,-0.000400824945867129,0.000393517746566374
2520,30,50,30.0003350745809,49.9997843146758,3.47737474178779,6.61678678562261,-0.000335074580945616,0.000215685324242543
2538,30,50,30.000228887508,49.9999788455853,3.47769984416172,6.61587700982609,-0.000228887507962128,2.11544146679898e-05
2556,30,50,30.0001051937108,50.000075605787,3.47812631964168,6.61541878756211,-0.000105193710766116,-7.56057870461291e-05
2574,30,50,29.9999845541695,50.0000446599295,3.47857288133756,6.61554130857222,1.54458305168248e-05,-4.46599294718908e-05
2592,30,50,29.9998976779913,49.9999708490756,3.47889593330029,6.61589170490304,0.000102322008697087,2.91509243908195e-05
2610,30,50,29.9998614393964,49.9999577718923,3.47903222826895,6.61595486625327,0.00013856060356332,4.22281077163689e-05
2628,30,50,29.9998735405978,50.0000052739581,3.47902488596653,6.6157299046763,0.000126459402199686,-5.27395814486908e-06
2646,30,50,29.9999236242317,50.0000202329929,3.47886219256502,6.61565905950163,7.63757683230892e-05,-2.02329928953304e-05
2664,30,50,29.9999969101304,49.9999382117012,3.47859196841954,6.61604928514815,3.0898696294912e-06,6.17882988365182e-05
2682,30,50,30.0000817465133,49.9998014003629,3.47827809936524,6.61670293193889,-8.17465132669781e-05,0.00019859963713742
2700,30,50,30.0001685506981,49.9997195924723,3.47795695064345,6.61709850616167,-0.000168550698067094,0.000280407527668558
2718,30,50,30.0002383976039,49.99975276525,3.47769853441932,6.61707445828706,-0.000238397603936846,0.000247234749998881
2736,30,50,30.0002727082775,49.9998503121968,3.47757158910851,6.61669306896327,-0.000272708277496037,0.000149687803208565
2754,30,50,30.0002649234328,49.9999402639268,3.47752197709349,6.61629923578415,-0.000264923432780506,5.97360731688923e-05
2772,30,50,30.0002218583388,49.9999728338203,3.47761564233831,6.61615960895022,-0.000221858338758096,2.71661797270895e-05
2790,30,50,30.000158773986,49.9999662558741,3.47780204368726,6.61619174358452,-0.000158773986022709,3.3744125943258e-05
2808,30,50,30.0000942408786,49.9999799845994,3.47801290623162,6.61613749693684,-9.42408785959969e-05,2.00154006364528e-05
2826,30,50,30.0000347408038,50.0000367275042,3.47822276066042,6.61586877424996,-3.47408037697505e-05,-3.6727504223677e-05
2844,30,50,29.9999878309334,50.0000956253804,3.47839651405429,6.61558984652507,1.21690665793039e-05,-9.56253804460516e-05
2862,30,50,29.9999592422539,50.0001061068606,3.47850294135771,6.61553274227069,4.07577461132291e-05,-0.00010610686064183
2880,30,50,29.999953247741,50.0000574402262,3.47852586895599,6.61573230566522,4.675225895312e-05,-5.74402261719342e-05
2898,30,50,29.9999727917972,49.9999889749776,3.47846161092185,6.61605686073198,2.72082028267562e-05,1.10250224309993e-05
2916,30,50,30.0000130496943,49.9999480177894,3.4783126624591,6.61625233999921,-1.30496942674085e-05,5.19822106141987e-05
2934,30,50,30.0000623519509,49.9999501455145,3.47813025274309,6.61626909376936,-6.23519508877735e-05,4.98544855105365e-05
2952,30,50,30.0001078683837,49.9999655393159,3.47796184930025,6.61621473565247,-0.000107868383686593,3.44606841053974e-05
2970,30,50,30.0001401093352,49.9999652395786,3.47784256147167,6.61623351975488,-0.000140109335227123,3.47604214425701e-05
2988,30,50,30.0001546800341,49.9999496382825,3.47778865064005,6.61630887164429,-0.000154680034068377,5.03617174558713e-05
3006,30,50,30.0001522027725,49.9999469821603,3.47775276499557,6.61633808471129,-0.000152202772500942,5.30178396900283e-05
3024,30,50,30.0001352317396,49.9999776678009,3.47777552860515,6.61620477971316,-0.000135231739623265,2.23321991015268e-05
3042,30,50,30.000107117199,50.000032159819,3.47784784314296,6.61594671631528,-0.000107117199032558,-3.21598190140548e-05
3060,30,50,30.0000734145089,50.0000747505602,3.47795080846575,6.61574501316266,-7.34145088827631e-05,-7.47505602021192e-05
3078,30,50,30.0000376239732,50.0000795884662,3.4780720922194,6.61570218039473,-3.76239732204908e-05,-7.95884661926038e-05
3096,30,50,30.0000082809126,50.0000568323474,3.47817820733409,6.61577936548968,-8.28091259563735e-06,-5.68323473757459e-05
3114,30,50,29.9999916484642,50.0000392994129,3.47823988003141,6.61584125018323,8.35153581846271e-06,-3.92994129470026e-05
3132,30,50,29.9999885444051,50.0000410074615,3.47825154830418,6.615819180792,1.14555948584893e-05,-4.10074615473377e-05
3150,30,50,29.9999970220387,50.0000480455984,3.47822106279191,6.61578584835615,2.97796129444805e-06,-4.8045598376234e-05
3168,30,50,30.0000134554305,50.0000388739465,3.47816026020147,6.61580836381018,-1.34554305049051e-05,-3.88739464796117e-05
3186,30,50,30.0000342288929,50.0000107252399,3.47808339992342,6.61593590107386,-3.42288928933954e-05,-1.07252399175195e-05
3204,30,50,30.0000561020474,49.9999791398176,3.47800247095108,6.61608609282109,-5.61020474094676e-05,2.08601824311927e-05
3222,30,50,30.0000750593878,49.999969536305,3.47793233006817,6.61613246092629,-7.50593877896222e-05,3.04636950474446e-05
3240,30,50,30.0000869690171,49.9999877521334,3.47788826494358,6.616052783545,-8.69690170866022e-05,1.22478665502967e-05
