Tempo,Referencia_Temperatura,Referencia_Umidade,Saida_Temperatura,Saida_Umidade,Sinal_Controle_Temperatura,Sinal_Controle_Umidade,Erro_Temperatura,Erro_Umidade
18,30,55,22,50,0,0,8,5
36,30,55,22,50,0,0,8,5
54,30,55,22,50,0,0,8,5
72,30,55,22,50,0,0,8,5
90,30,55,22,50,0,0,8,5
108,30,55,22,50,0,0,8,5
126,30,55,22,50,0,0,8,5
126,30,55,22,50,2.61513080744547,2.16322185036275,8,5
144,30,55,22,50.0531070964264,5.23026161489094,4.06273878128019,8,4.94689290357359
162,30,55,22,50.5520977017598,7.84539242233641,4.799052020911,8,4.44790229824016
180,30,55,21.9923075831001,51.3766806058869,10.4717183591682,4.33027730925282,8.00769241689989,3.62331939411307
198,30,55,22.1712378611182,52.2488717428569,12.0567115378858,3.36117296734013,7.82876213888185,2.75112825714308
216,30,55,22.5542655280484,52.9266247783845,12.915642473432,2.81431499646923,7.44573447195165,2.07337522161551
234,30,55,23.1601924083613,53.006906833758,13.2947057751599,3.51841816671702,6.83980759163871,1.99309316624196
252,30,55,24.0054970438432,52.6154004451735,13.1184779228948,5.61604253787409,5.99450295615679,2.3845995548265
270,30,55,24.9974228069555,52.0432433473418,12.3776470829923,8.12384472098093,5.00257719304449,2.95675665265818
288,30,55,26.0495711476574,51.5556177721591,11.0952903979754,10.6590758691921,3.95042885234264,3.44438222784089
306,30,55,27.0873015549287,51.3359827651668,9.76622006393444,13.0291169598659,2.9126984450713,3.66401723483324
324,30,55,28.034984505725,51.4502706218771,8.53844419418358,14.2193047441463,1.96501549427498,3.5497293781229
342,30,55,28.8373194551205,51.8697672054821,7.17125515291644,14.6776809791672,1.16268054487946,3.13023279451788
360,30,55,29.4501816097184,52.4021582316218,5.9160473708926,14.6970776812627,0.549818390281629,2.59784176837818
378,30,55,29.8813153898407,52.9708805704381,4.86733256406552,14.3700420372544,0.118684610159342,2.02911942956193
396,30,55,30.16924915906,53.5654484404494,4.07843988843911,13.6547254010767,-0.16924915905998,1.43455155955058
414,30,55,30.3212432929838,54.1328097231202,3.59531817893152,12.6399462506775,-0.321243292983766,0.867190276879846
432,30,55,30.3593438555443,54.5966597404156,3.39542840268911,11.5729844743987,-0.359343855544278,0.40334025958439
450,30,55,30.3127506781142,54.9394208266954,3.43675768704123,10.5917982183337,-0.312750678114178,0.0605791733045891
468,30,55,30.2150796037018,55.1647425600185,3.58516111508193,9.86609120199163,-0.215079603701788,-0.164742560018546
486,30,55,30.1005537966926,55.2904935198997,3.78191371462089,9.39159108965732,-0.100553796692587,-0.290493519899698
504,30,55,29.9956868634795,55.3547280960104,3.98162716074599,9.07150960511074,0.00431313652049425,-0.354728096010426
522,30,55,29.9194073090484,55.3798314883545,4.17717028186249,8.85387813539587,0.0805926909516046,-0.37983148835454
540,30,55,29.8752726686072,55.3664214853489,4.34545998591937,8.83608505173968,0.124727331392755,-0.366421485348852
558,30,55,29.8615378013584,55.3107504641281,4.46613796900738,8.98232422511758,0.138462198641584,-0.310750464128105
